OptIndex Step X_0 X_1
0 0 -5.07959 -5.04153
0 1 -5.07488 -4.96939
0 2 -5.00461 -5.03874
0 3 -4.96468 -5.01687
0 4 -4.9707 -5.00945
0 5 -4.98527 -4.99079
0 6 -4.98616 -4.98676
0 7 -4.98627 -4.9862
0 8 -4.98621 -4.98619
0 9 -4.98618 -4.98618
0 10 -4.98618 -4.98618
0 11 -4.98618 -4.98618
0 12 -4.98618 -4.98618
0 13 -4.98618 -4.98618
0 14 -4.98618 -4.98618
1 0 0.115869 0.34881
1 1 0.115869 0.34881
1 2 0.115869 0.34881
1 3 0.115869 0.34881
1 4 0.115869 0.34881
1 5 0.115869 0.34881
1 6 0.115869 0.34881
1 7 0.115869 0.34881
1 8 0.115869 0.34881
1 9 0.115869 0.34881
1 10 0.115869 0.34881
1 11 0.115869 0.34881
1 12 0.115869 0.34881
1 13 0.115869 0.34881
1 14 0.115869 0.34881
2 0 1.01587 -1.29562
2 1 1.01587 -1.29562
2 2 1.01587 -1.29562
2 3 1.01587 -1.29562
2 4 1.01587 -1.29562
2 5 1.01587 -1.29562
2 6 1.01587 -1.29562
2 7 1.01587 -1.29562
2 8 1.01587 -1.29562
2 9 1.01587 -1.29562
2 10 1.01587 -1.29562
2 11 1.01587 -1.29562
2 12 1.01587 -1.29562
2 13 1.01587 -1.29562
2 14 1.01587 -1.29562
3 0 4.96338 -2.98567
3 1 4.96543 -2.99308
3 2 4.96646 -2.98558
3 3 4.97262 -2.9928
3 4 4.97624 -2.99402
3 5 4.98115 -2.99351
3 6 4.97994 -2.99155
3 7 4.97966 -2.98885
3 8 4.97992 -2.98801
3 9 4.97995 -2.98799
3 10 4.97995 -2.98799
3 11 4.97995 -2.98799
3 12 4.97996 -2.98799
3 13 4.97996 -2.98799
3 14 4.97996 -2.98799
4 0 4.97249 -3.96348
4 1 4.96898 -3.96613
4 2 4.9704 -3.96887
4 3 4.98608 -3.98252
4 4 4.9829 -3.98681
4 5 4.98316 -3.98655
4 6 4.98317 -3.98654
4 7 4.98317 -3.98654
4 8 4.98317 -3.98654
4 9 4.98317 -3.98654
4 10 4.98317 -3.98654
4 11 4.98317 -3.98654
4 12 4.98317 -3.98654
4 13 4.98317 -3.98654
4 14 4.98317 -3.98654
5 0 2.97844 1.04424
5 1 2.97844 1.04424
5 2 2.97844 1.04424
5 3 2.97844 1.04424
5 4 2.97844 1.04424
5 5 2.97844 1.04424
5 6 2.97844 1.04424
5 7 2.97844 1.04424
5 8 2.97844 1.04424
5 9 2.97844 1.04424
5 10 2.97844 1.04424
5 11 2.97844 1.04424
5 12 2.97844 1.04424
5 13 2.97844 1.04424
5 14 2.97844 1.04424
6 0 -3.66333 -0.0243715
