OptIndex	Step	X_0	X_1
0	0	-4.99178208919160316e+00	-4.89749588749784603e+00
0	1	-5.01907847413067731e+00	-4.91753435704394715e+00
0	2	-4.99109958871588866e+00	-4.98571026418538565e+00
0	3	-4.98561216161242893e+00	-4.98609868182861948e+00
0	4	-4.98618013720218300e+00	-4.98619881626720307e+00
0	5	-4.98618086676181527e+00	-4.98617798564776837e+00
0	6	-4.98618053908887493e+00	-4.98618042862781508e+00
0	7	-4.98618053086921531e+00	-4.98618042040041409e+00
0	8	-4.98618052264955569e+00	-4.98618041217301311e+00
0	9	-4.98618051442989607e+00	-4.98618040394561213e+00
0	10	-4.98618051442989607e+00	-4.98618040394561213e+00
0	11	-4.98618051442989607e+00	-4.98618040394561213e+00
0	12	-4.98618051442989607e+00	-4.98618040394561213e+00
0	13	-4.98618051442989607e+00	-4.98618040394561213e+00
0	14	-4.98618051442989607e+00	-4.98618040394561213e+00
0	15	-4.98618051442989607e+00	-4.98618040394561213e+00
0	16	-4.98618051442989607e+00	-4.98618040394561213e+00
0	17	-4.98618051442989607e+00	-4.98618040394561213e+00
0	18	-4.98618051442989607e+00	-4.98618040394561213e+00
0	19	-4.98618051442989607e+00	-4.98618040394561213e+00
0	20	-4.98618051442989607e+00	-4.98618040394561213e+00
0	21	-4.98618051442989607e+00	-4.98618040394561213e+00
0	22	-4.98618051442989607e+00	-4.98618040394561213e+00
0	23	-4.98618051442989607e+00	-4.98618040394561213e+00
0	24	-4.98618051442989607e+00	-4.98618040394561213e+00
1	0	1.07938231088863246e-01	3.80977449508897781e-01
1	1	2.47481959351942199e-01	1.32665628828956161e-01
1	2	2.50424948881497134e-01	-3.88995867871201051e-02
1	3	2.35240247991323481e-02	-2.48770918189077581e-02
1	4	-4.10132021799288621e-03	-6.41877639716994380e-03
1	5	-3.40878227195833211e-03	-8.32562045009466005e-04
1	6	-3.99906446013701452e-04	1.32095382367737168e-03
1	7	3.54490249747289963e-04	6.22890628552149207e-04
1	8	3.22353777932090106e-04	7.65590309815912312e-05
1	9	1.68582205971457683e-05	-2.09659454947008837e-04
1	10	-4.02959214390401742e-05	-6.18558415768872898e-05
1	11	-2.94932040435472124e-05	1.59065889573210974e-05
1	12	-6.62983437963787840e-06	1.65025895622604468e-05
1	13	4.34120281325833571e-06	6.40972009213311065e-06
1	14	4.06093530361290394e-06	-1.70790087604129920e-06
1	15	-6.60122520232142290e-07	-1.92169559811366936e-06
1	16	-9.61886450551522666e-07	-4.69877116688408601e-07
1	17	-4.97631793756308448e-07	1.45844453407774520e-07
1	18	-1.65245966331131919e-07	2.21315794246429984e-07
1	19	1.37363429646520401e-07	7.75689446776305731e-08
1	20	-2.66597370301578412e-08	-7.79355708447902877e-08
1	21	-2.99230302203593326e-08	-5.60117632829794134e-09
1	22	-1.41106445833857356e-08	8.90439267104192642e-09
1	23	6.87406983950307056e-09	6.85328464312447058e-09
1	24	3.26452494758944198e-09	4.85512953535620182e-10
2	0	7.63802533316806698e-01	-1.89583570810066826e+00
2	1	9.68819586164091695e-01	-1.78313429573163851e+00
2	2	1.02771939034697879e+00	-1.90683156516720786e+00
2	3	1.00510104319299054e+00	-1.98615637934007361e+00
2	4	9.85532501420151030e-01	-1.97154966867979597e+00
2	5	9.82945794263985761e-01	-1.96425133004440733e+00
