OptIndex	Step	X_0	X_1
0	0	-1.55437026992421590e+00	-4.72931287367021991e+00
0	1	-2.24715750197608122e+00	3.41259800162073379e+00
0	2	-2.34413651414060542e+00	5.16440885080832857e+00
0	3	-2.36441550154409086e+00	5.58024427359394615e+00
0	4	-2.36380125488562776e+00	5.58543884577165084e+00
0	5	-2.36169539921611005e+00	5.58014718548069411e+00
0	6	-2.34950047646494520e+00	5.53511929741521147e+00
0	7	-2.31550138636790459e+00	5.39328080272654198e+00
0	8	-2.16026006021394013e+00	4.71831694336986729e+00
0	9	-2.16026006021394013e+00	4.71831694336986729e+00
0	10	-2.16026006021394013e+00	4.71831694336986729e+00
0	11	-2.11514147699319688e+00	4.53407244475569016e+00
0	12	-2.11514147699319688e+00	4.53407244475569016e+00
0	13	-2.11514147699319688e+00	4.53407244475569016e+00
0	14	-2.11514147699319688e+00	4.53407244475569016e+00
0	15	-1.79455819833203312e+00	3.20343301311965156e+00
0	16	-1.74866754739145880e+00	3.01291281794115973e+00
0	17	-1.74979729745709034e+00	3.01756587949732458e+00
0	18	-1.74979729745709034e+00	3.01756587949732458e+00
0	19	-1.74979729745709034e+00	3.01756587949732458e+00
0	20	-1.74979729745709034e+00	3.01756587949732458e+00
0	21	-1.74979729745709034e+00	3.01756587949732458e+00
0	22	-1.74979729745709034e+00	3.01756587949732458e+00
0	23	-1.74979729745709034e+00	3.01756587949732458e+00
0	24	-1.74979729745709034e+00	3.01756587949732458e+00
1	0	-4.63407453949784442e-01	1.80040104453696559e-01
1	1	-2.01736471984819921e-01	3.60513800354504144e-02
1	2	-9.70761767880414100e-02	-2.91893575492650076e-02
1	3	-8.82601597611345351e-02	-1.31152676579357960e-02
1	4	4.52420503381448097e-02	-1.62472631503791307e-02
1	5	1.87903053793597119e-01	3.30764324917156433e-04
1	6	2.69090355248187196e-01	7.13871518250097231e-02
1	7	3.82412084011689135e-01	1.19860730142351837e-01
1	8	4.05167424567754897e-01	1.50625826704612609e-01
1	9	5.64030364356878811e-01	2.85222301969701442e-01
1	10	5.50087116528157227e-01	3.05282003684043235e-01
1	11	6.21844330134966983e-01	3.81924599699614120e-01
1	12	6.75027997287151793e-01	4.43349711140874514e-01
1	13	7.24397882751487088e-01	5.10824693067672753e-01
1	14	7.81649338675338368e-01	6.05068009677993901e-01
1	15	8.48345330473600279e-01	7.10390647766758754e-01
1	16	8.97769605506310575e-01	8.07124172856976130e-01
1	17	9.39876679279760152e-01	8.79011750036073902e-01
1	18	9.52986655465372423e-01	9.05584967517710560e-01
1	19	9.81054557753125112e-01	9.61015229001224713e-01
1	20	9.88725465047932017e-01	9.78305503665026888e-01
1	21	9.96637208726170565e-01	9.93435782690969438e-01
1	22	1.00034536028142451e+00	1.00063427725356968e+00
1	23	9.99941233402680707e-01	9.99877694824471530e-01
1	24	9.99987401195912895e-01	9.99973833188470662e-01
2	0	4.77259887288393414e-01	-2.03630296298766744e+00
2	1	-1.25354481666546280e-01	1.25892992983520635e-02
2	2	-1.22689506431518353e-01	1.47678079433206742e-02
2	3	-1.02117551626239228e-01	2.02270593013029847e-02
2	4	-5.10078073258979983e-02	2.17826637569578201e-02
2	5	2.22031561073989803e-01	1.90591650325804447e-02
2	6	1.96134258710626536e-01	1.98352903462457458e-02
2	7	2.04568617661275431e-01	2.40888202894051981e-02
2	8	3.72858848172784030e-01	1.09254238596070946e-01
2	9	3.95415626651362428e-01	1.52555458765452651e-01
2	10	5.35899665917802803e-01	2.64144533734610276e-01
2	11	5.51338608701430255e-01	2.95472613602719758e-01
2	12	6.94288954443402329e-01	4.57714134107964798e-01
2	13	6.79019224633072516e-01	4.60902116249899907e-01
2	14	7.40605976275923616e-01	5.44956770937369273e-01
2	15	8.23316958574298319e-01	6.63153716936196957e-01
2	16	8.18994591551795770e-01	6.66099557714959878e-01
2	17	8.65766855832776239e-01	7.47369898337312932e-01
2	18	9.39781938807928263e-01	8.74140587485877862e-01
2	19	9.31117993948194167e-01	8.66293175261398041e-01
2	20	9.57163938535326997e-01	9.15522854824330712e-01
2	21	9.93506777463502133e-01	9.84798805494837559e-01
2	22	9.91573377708823145e-01	9.83107960369602574e-01
2	23	9.97606518345750315e-01	9.95185158116201118e-01
2	24	9.99946144054915553e-01	9.99872706767919506e-01
3	0	1.63533097665737781e+00	-2.70913785762333470e+00
3	1	2.15350029167072243e+00	3.26160158423690083e+00
3	2	2.25686033110107687e+00	4.84502753570528100e+00
3	3	2.27662634484588411e+00	5.17412647539085047e+00
3	4	2.27683907967146393e+00	5.18291933444698838e+00
3	5	2.27639842634610368e+00	5.18164222665545804e+00
3	6	2.26604531255791164e+00	5.14249397579672252e+00
3	7	2.24211427900558169e+00	5.04290411384153892e+00
3	8	2.12402352782605330e+00	4.53618380944934341e+00
3	9	2.12402352782605330e+00	4.53618380944934341e+00
3	10	2.12402352782605330e+00	4.53618380944934341e+00
3	11	2.13546443011437459e+00	4.57732693676788482e+00
3	12	2.13546443011437459e+00	4.57732693676788482e+00
3	13	1.91120074808699236e+00	3.61920949972286099e+00
3	14	1.93066512666942414e+00	3.70229357753093336e+00
3	15	1.93066512666942414e+00	3.70229357753093336e+00
3	16	1.93066512666942414e+00	3.70229357753093336e+00
3	17	1.93066512666942414e+00	3.70229357753093336e+00
3	18	1.93066512666942414e+00	3.70229357753093336e+00
3	19	1.93066512666942414e+00	3.70229357753093336e+00
3	20	1.93066512666942414e+00	3.70229357753093336e+00
3	21	1.93066512666942414e+00	3.70229357753093336e+00
3	22	1.93066512666942414e+00	3.70229357753093336e+00
3	23	1.93066512666942414e+00	3.70229357753093336e+00
3	24	1.93066512666942414e+00	3.70229357753093336e+00
4	0	1.48345611573701763e+00	-3.83609943432212663e+00
4	1	2.07751084593711299e+00	3.16462960229581469e+00
4	2	2.15719842488822078e+00	4.44558052243694402e+00
4	3	2.17285685301572906e+00	4.71562589771641072e+00
4	4	2.17286381722133370e+00	4.72042188270459206e+00
4	5	2.17244164557717134e+00	4.71948503048258239e+00
4	6	2.16682600693192251e+00	4.70059005890244919e+00
4	7	2.15353625663969517e+00	4.64940931012144532e+00
4	8	2.10291780701723496e+00	4.44471504419899510e+00
4	9	1.77936470546206627e+00	3.12165751196374597e+00
4	10	1.83205295979775040e+00	3.33714492373043159e+00
4	11	1.82592111938281554e+00	3.31570507831139194e+00
4	12	1.65971112183108382e+00	2.72750847998882939e+00
4	13	1.62379296891317337e+00	2.62762282129041758e+00
4	14	1.53477266722155536e+00	2.33756053552962761e+00
4	15	1.43923109453487963e+00	2.05166145292224744e+00
4	16	1.38101507721745209e+00	1.91284720123039476e+00
4	17	1.29671737208559046e+00	1.67237525860577363e+00
4	18	1.23521260194516591e+00	1.50893681287723758e+00
4	19	1.21729523988186350e+00	1.47500562911399724e+00
4	20	1.14910594946308819e+00	1.31414167006209581e+00
