function	opt	time	error	minima	coordinates
rosenbrock	8	0.01796198463439942	0.00000019982395652	0.00000000000049058	0.99999997624996173,0.99999999003943874,1.00000000784469889,1.00000000750133666,0.99999999113467619,0.99999998530314693,0.99999998277540636,0.99999996978929562,0.99999993040985879,0.99999981888739786
ackley	8	0.01971916770935058	0.00000000000490219	0.00000000000619993	-0.00000000000064011,0.00000000000154921,-0.00000000000063973,-0.00000000000144642,0.00000000000026001,0.00000000000044181,-0.00000000000215259,-0.00000000000261475,-0.00000000000083315,0.00000000000250855
rosenbrock	32	0.01869004821777344	0.00000016014356636	0.00000000000040779	0.99999998828511238,1.00000000709235204,1.00000002503064978,1.00000000743000594,0.99999999382181803,0.99999997873707069,0.99999997696728515,0.99999996782251810,0.99999993093210549,0.99999986602190127
ackley	32	0.02128998374938965	0.00000000000490219	0.00000000000619993	-0.00000000000064011,0.00000000000154921,-0.00000000000063973,-0.00000000000144642,0.00000000000026001,0.00000000000044181,-0.00000000000215259,-0.00000000000261475,-0.00000000000083315,0.00000000000250855
rosenbrock	128	0.01864703941345215	0.00000015942591251	0.00000000000015972	0.99999999996647349,0.99999999170926313,1.00000000428255631,0.99999999999035805,0.99999999115953719,1.00000000839175640,1.00000001650011217,1.00000003736671039,1.00000006485566995,1.00000013894670103
ackley	128	0.01795686340332031	0.00000000000490219	0.00000000000619993	-0.00000000000064011,0.00000000000154921,-0.00000000000063973,-0.00000000000144642,0.00000000000026001,0.00000000000044181,-0.00000000000215259,-0.00000000000261475,-0.00000000000083315,0.00000000000250855
rosenbrock	512	0.01972326469421387	0.00000015942591251	0.00000000000015972	0.99999999996647349,0.99999999170926313,1.00000000428255631,0.99999999999035805,0.99999999115953719,1.00000000839175640,1.00000001650011217,1.00000003736671039,1.00000006485566995,1.00000013894670103
ackley	512	0.01832652854919434	0.00000000000490219	0.00000000000619993	-0.00000000000064011,0.00000000000154921,-0.00000000000063973,-0.00000000000144642,0.00000000000026001,0.00000000000044181,-0.00000000000215259,-0.00000000000261475,-0.00000000000083315,0.00000000000250855
rosenbrock	2048	0.01983283233642578	0.00000012357277932	0.00000000000010137	1.00000000423236468,0.99999999317678701,0.99999999567264231,1.00000000086371554,0.99999999467685741,0.99999999411386775,0.99999998513477273,0.99999997306575139,0.99999995494228910,0.99999988978801257
ackley	2048	0.01832755279541015	0.00000000000380760	0.00000000000481437	-0.00000000000144623,-0.00000000000020702,-0.00000000000083916,0.00000000000225980,0.00000000000074430,-0.00000000000215953,0.00000000000037675,-0.00000000000003986,0.00000000000104028,-0.00000000000033055
rosenbrock	8192	0.01980928039550781	0.00000014724258166	0.00000000000009272	1.00000000972385306,0.99999999978757337,1.00000000074860940,0.99999999550759433,0.99999999130577299,0.99999999421921504,0.99999998465629958,0.99999996578312944,0.99999994211211263,0.99999987077616570
ackley	8192	0.01868799972534180	0.00000000000109649	0.00000000000138956	-0.00000000000032695,0.00000000000032440,0.00000000000003709,0.00000000000074471,-0.00000000000014192,-0.00000000000024239,-0.00000000000004096,0.00000000000029901,-0.00000000000050755,-0.00000000000008131
rosenbrock	32768	0.03833900833129883	0.00000001649354164	0.00000000000005685	0.99999999620237390,1.00000000016571300,0.99999999457635791,0.99999999496432035,0.99999999915715343,0.99999999455499500,0.99999999085106184,0.99999999302697318,0.99999999948919549,0.99999999368589165
ackley	32768	0.04217036819458008	0.00000000000076040	0.00000000000096323	-0.00000000000024128,-0.00000000000029881,0.00000000000009629,0.00000000000008385,0.00000000000005465,-0.00000000000014557,0.00000000000048880,-0.00000000000025983,-0.00000000000011944,0.00000000000026364
rosenbrock	131072	0.10225651550292969	0.00000007974968599	0.00000000000002444	0.99999999654995342,0.99999999595711508,1.00000000009034307,1.00000000001826672,0.99999999549000851,0.99999999442702914,0.99999998798666212,0.99999997971840382,0.99999996827542215,0.99999993131051113
ackley	131072	0.10793564605712891	0.00000000000059148	0.00000000000075007	-0.00000000000002544,0.00000000000002897,0.00000000000028455,0.00000000000023937,0.00000000000027464,-0.00000000000019189,0.00000000000029365,0.00000000000002036,0.00000000000008123,0.00000000000006782
rosenbrock	524288	0.38464199829101564	0.00000007974968599	0.00000000000002444	0.99999999654995342,0.99999999595711508,1.00000000009034307,1.00000000001826672,0.99999999549000851,0.99999999442702914,0.99999998798666212,0.99999997971840382,0.99999996827542215,0.99999993131051113
ackley	524288	0.40746865844726565	0.00000000000027554	0.00000000000034861	0.00000000000011801,0.00000000000000983,-0.00000000000003040,-0.00000000000012198,-0.00000000000017864,-0.00000000000008733,-0.00000000000005265,0.00000000000000166,0.00000000000006143,-0.00000000000000184
rosenbrock	2097152	1.51357299804687506	0.00000000823538640	0.00000000000001689	0.99999999854646326,0.99999999643860271,1.00000000247842658,1.00000000270902922,1.00000000214032103,1.00000000160506586,1.00000000185803040,1.00000000300700931,1.00000000419159440,1.00000000152406554
ackley	2097152	1.60329406738281244	0.00000000000023195	0.00000000000029177	-0.00000000000007427,-0.00000000000002484,-0.00000000000011825,0.00000000000002001,-0.00000000000011263,0.00000000000001793,-0.00000000000006111,0.00000000000007635,-0.00000000000005677,-0.00000000000008654
rosenbrock	33554432	24.49291796874999960	0.00000000640836291	0.00000000000000950	0.99999999805801809,0.99999999847854015,1.00000000249671550,1.00000000015085933,0.99999999838158238,0.99999999847356069,0.99999999975995180,0.99999999956287122,1.00000000303524761,1.00000000378337273
ackley	33554432	25.74045507812499878	0.00000000000008109	0.00000000000010347	-0.00000000000001009,-0.00000000000004659,0.00000000000002444,0.00000000000000766,-0.00000000000000964,-0.00000000000003170,-0.00000000000000618,0.00000000000004794,0.00000000000000009,0.00000000000001457
rosenbrock	33554432	24.87234570312499926	0.00000000640836291	0.00000000000000950	0.99999999805801809,0.99999999847854015,1.00000000249671550,1.00000000015085933,0.99999999838158238,0.99999999847356069,0.99999999975995180,0.99999999956287122,1.00000000303524761,1.00000000378337273
ackley	33554432	26.42915039062500071	0.00000000000008109	0.00000000000010347	-0.00000000000001009,-0.00000000000004659,0.00000000000002444,0.00000000000000766,-0.00000000000000964,-0.00000000000003170,-0.00000000000000618,0.00000000000004794,0.00000000000000009,0.00000000000001457
rosenbrock	8	0.01765785598754883	0.00000006770696363	0.00000000000043795	1.00000001832562346,1.00000000257704347,1.00000000859312332,0.99999999955329621,0.99999999671517958,0.99999999580642540,0.99999999268315276,1.00000000271911693,0.99999999285669605,0.99999993653828534
ackley	8	0.01095168018341064	1.29759341060981148	1.64622363310311259	-0.91753711070829358,-0.00000000085299227,-0.00000000083903006,0.91753708902206199,-0.00000000008085518,0.00000000055661521,0.00000000023386233,0.00000000043084041,0.00000000060683272,0.00000000013978376
rastrigin	8	0.01041305637359619	3.58735916331084193	12.93445696005645118	0.99495326517871219,1.98990195384747093,-1.98990156433205478,0.99496151611693318,-0.00000939596967726,0.99496212319191157,-0.00001115719665701,0.99496664530794610,-0.99495682035738886,-0.00000626732635345
rosenbrock	32	0.01946214485168457	0.00000020284214174	0.00000000000027098	0.99999998540353130,1.00000000534535993,1.00000000253528842,0.99999999757192448,0.99999999690857799,0.99999998159638548,0.99999996068078090,0.99999995442436862,0.99999991301508961,0.99999982867219217
rastrigin	32	0.00758681583404541	2.63240785666131005	6.96470746586082434	-0.00000234856210197,-0.99495948318788785,-0.00000209305482005,0.00000066453794295,-0.00000138668536394,0.99496090754133804,-0.00000385130899500,1.98990772860429144,0.00000042452339559,0.99496069002993126
ackley	32	0.01889587211608887	0.00000000000770690	0.00000000000974909	-0.00000000000090383,-0.00000000000071619,-0.00000000000119708,0.00000000000557926,-0.00000000000203743,0.00000000000148662,-0.00000000000203422,0.00000000000087419,0.00000000000223712,0.00000000000303927
rosenbrock	128	0.01986355209350586	0.00000008087978369	0.00000000000022400	0.99999999856049426,0.99999999251745242,0.99999999099443126,0.99999999839256459,0.99999998301788751,0.99999997396365226,0.99999998565891657,0.99999998562797776,0.99999996911756173,0.99999993622254035
rastrigin	128	0.00861286354064941	2.43714086693371712	5.96975356670419899	-0.00000001648576772,-0.99495858078490595,0.99495859735133518,-0.99495857276541377,-0.99495862710067751,-0.99495859440080980,0.00000002482642548,0.00000000855575227,-0.99495858286869898,-0.00000003130017684
ackley	128	0.01806131172180176	0.00000000000770690	0.00000000000974909	-0.00000000000090383,-0.00000000000071619,-0.00000000000119708,0.00000000000557926,-0.00000000000203743,0.00000000000148662,-0.00000000000203422,0.00000000000087419,0.00000000000223712,0.00000000000303927
rosenbrock	128	0.01917542457580566	0.00000008087978369	0.00000000000022400	0.99999999856049426,0.99999999251745242,0.99999999099443126,0.99999999839256459,0.99999998301788751,0.99999997396365226,0.99999998565891657,0.99999998562797776,0.99999996911756173,0.99999993622254035
rastrigin	128	0.00875417613983154	2.43714086693371712	5.96975356670419899	-0.00000001648576772,-0.99495858078490595,0.99495859735133518,-0.99495857276541377,-0.99495862710067751,-0.99495859440080980,0.00000002482642548,0.00000000855575227,-0.99495858286869898,-0.00000003130017684
ackley	128	0.01871974372863770	0.00000000000770690	0.00000000000974909	-0.00000000000090383,-0.00000000000071619,-0.00000000000119708,0.00000000000557926,-0.00000000000203743,0.00000000000148662,-0.00000000000203422,0.00000000000087419,0.00000000000223712,0.00000000000303927
rosenbrock	512	0.02341990470886230	0.00000006187529918	0.00000000000015694	0.99999999770233483,0.99999999553793928,1.00000000062425487,1.00000001165575925,0.99999999864222266,0.99999999595478217,0.99999998327892914,0.99999997532455698,0.99999997196713719,0.99999995556356747
rastrigin	512	0.01031372833251953	1.98991826663438287	3.97983524713078474	-0.00000065834449810,0.99495880975966233,-0.00000217903768000,-0.00000202493130512,-0.00000102789228822,0.00000123636172304,-0.00000089809078532,0.99495849658879443,-0.99495801935935879,-0.99496120755153916
ackley	512	0.02099200057983398	0.00000000000473812	0.00000000000599387	0.00000000000027044,-0.00000000000075759,-0.00000000000173398,0.00000000000217022,0.00000000000259076,0.00000000000104583,-0.00000000000150021,0.00000000000073572,-0.00000000000185460,-0.00000000000022125
rosenbrock	2048	0.02350284767150879	0.00000005932566022	0.00000000000011732	0.99999999977044607,0.99999999600455147,0.99999999204482559,0.99999998661622369,0.99999999065354894,1.00000000727554261,1.00000000460768468,1.00000001446649733,1.00000002315073822,1.00000004852165225
rastrigin	2048	0.01030144023895264	1.98991826663438287	3.97983524713078474	-0.00000065834449810,0.99495880975966233,-0.00000217903768000,-0.00000202493130512,-0.00000102789228822,0.00000123636172304,-0.00000089809078532,0.99495849658879443,-0.99495801935935879,-0.99496120755153916
