fun	idx	status	iter	fval	norm	coord_0	coord_1
ackley	0	2	10	2.1858	6.83885	-0.0255832	0.30547
ackley	1	2	10	0.0010843	2.84877	-0.000350361	-0.000152176
ackley	2	2	10	7.96171	3.97931e-06	-2.97314	1.98214
ackley	3	2	10	6.88258	6.14093e-06	2.96462	-1.90481e-12
ackley	4	1	9	2.57993	6.1863e-07	-7.54541e-09	-0.952167
ackley	5	2	10	8.81315	4.24697e-06	-0.992767	-3.97092
ackley	6	2	10	10.258	4.97998e-06	-4.9745	0.99492
ackley	7	1	4	8.61625	8.10563e-07	-7.76889e-09	3.96947
ackley	8	2	10	10.258	4.80937e-06	-4.9745	0.99492
ackley	9	1	7	2.57993	4.58744e-07	0.952167	3.4741e-10
ackley	10	2	10	6.37604	5.57405	-1.77869	-1.13929
ackley	11	2	10	8.42268	6.3815	-3.01778	-1.2414
ackley	12	2	10	5.38186	2.94464e-06	-1.96462	0.982416
ackley	13	2	10	6.55965	1.98661e-06	1.97445	1.97445
ackley	14	2	10	6.88258	6.19228e-06	-1.48391e-08	-2.96462
ackley	15	2	10	9.35304	1.20449e-06	1.98731	3.97454
ackley	16	2	10	2.57993	2.47064e-05	4.0553e-07	-0.952167
ackley	17	2	10	6.31276e-05	2.82962	8.89357e-06	2.04654e-05
ackley	18	1	9	2.57993	8.16215e-07	0.952167	-1.22653e-08
ackley	19	2	10	8.81315	3.76452e-06	-0.992767	-3.97092
ackley	20	2	10	7.18095	1.00234e-05	2.96726	0.989154
ackley	21	2	10	11.2175	6.40121e-06	4.97996	-2.988
ackley	22	2	10	6.88258	6.14096e-06	-3.77362e-10	2.96462
ackley	23	2	10	4.88407	4.37229e-06	1.95892	2.19543e-09
ackley	24	2	10	3.57445	4.03066e-06	0.968478	0.968478
ackley	25	2	10	9.35304	1.18521e-06	-3.97454	1.98731
ackley	26	2	10	7.96171	3.88926e-06	-1.98214	2.97314
ackley	27	2	10	6.88258	0.000853703	2.96464	-2.06778e-06
ackley	28	2	10	9.00109	9.81376e-06	2.97922	2.97922
ackley	29	2	10	10.1204	9.21286e-06	3.97892	2.98421
ackley	30	2	10	11.2175	6.40121e-06	-4.97996	2.988
ackley	31	2	10	11.2175	6.40121e-06	-2.988	-4.97996
ackley	32	2	10	10.645	1.06703e-05	-4.97684	-1.99076
ackley	33	2	10	10.258	4.98728e-06	-0.99492	-4.9745
ackley	34	2	10	7.96171	3.88926e-06	2.97314	-1.98214
ackley	35	2	10	7.96171	0.00323098	-1.98211	2.97319
ackley	36	2	10	4.88407	4.37125e-06	1.29923e-09	-1.95892
ackley	37	2	10	5.2557	4.12999	1.41047	-0.00846183
ackley	38	2	10	10.1203	8.41344e-06	2.67889e-09	4.97361
ackley	39	1	8	2.57993	4.58452e-07	-0.952167	-1.79628e-10
ackley	40	2	10	10.1204	7.03241e-06	-2.98421	-3.97892
ackley	41	2	10	5.24055	4.25449	-1.40557	-0.0230573
ackley	42	2	10	0.00030929	2.83424	-5.12266e-05	-9.64824e-05
ackley	43	2	10	4.88407	3.00763e-06	1.95892	-1.19897e-09
ackley	44	2	10	11.9013	4.8001e-06	-4.9832	-3.98657
ackley	45	2	10	7.18095	5.75878e-06	-2.96726	0.989154
ackley	46	2	10	9.00109	1.14144e-05	-2.97922	2.97922
ackley	47	2	10	4.88407	0.0123833	-1.95917	1.23999e-05
ackley	48	2	10	4.88407	3.00694e-06	1.95892	-6.19474e-11
ackley	49	1	9	2.57993	4.64339e-07	-1.35063e-09	-0.952167
ackley	50	2	10	2.57993	1.01896e-06	-1.65273e-08	0.952167
ackley	51	1	6	2.57993	6.31484e-07	0.952167	7.88879e-09
ackley	52	2	10	11.9013	4.91269e-06	3.98657	-4.9832
ackley	53	2	10	10.1204	7.01657e-06	-3.97892	2.98421
ackley	54	2	10	3.08959	2.62574	-0.74801	0.010919
ackley	55	2	10	7.18095	5.76906e-06	-2.96726	-0.989154
ackley	56	2	10	11.2175	6.40121e-06	2.988	-4.97996
ackley	57	2	10	3.57445	5.15865e-05	0.968478	-0.968477
ackley	58	2	10	1.71624	8.76126	0.107498	-0.211942
ackley	59	2	10	5.38186	1.69838e-06	0.982416	1.96462
ackley	60	2	10	7.18095	5.79612e-06	2.96726	0.989154
ackley	61	2	10	0.00442466	2.91054	8.88004e-05	-0.00153941
ackley	62	2	10	5.38186	1.65513e-06	1.96462	-0.982416
ackley	63	2	10	5.38186	1.65513e-06	0.982416	-1.96462
ackley	64	2	11	9.48431	3.74635	3.75967	-0.970197
ackley	65	2	11	10.1204	7.03241e-06	3.97892	2.98421
ackley	66	2	11	6.30287	1.72089	0.84065	-1.53748
ackley	67	2	11	11.2175	6.40121e-06	-2.988	-4.97996
ackley	68	2	11	0.00176426	2.86145	-0.000471152	0.000403222
ackley	69	2	11	0.000373293	2.83545	-0.000130027	2.16426e-05
ackley	70	2	11	3.05958	2.87562	-0.0180846	-0.489712
ackley	71	2	11	10.1204	7.03241e-06	2.98421	-3.97892
