fun	idx	status	iter	fval	norm	coord_0	coord_1
goldstein	0	0	10000	84	0.000236185	1.8	0.2
goldstein	1	0	10000	766.379	7225.27	-1.12903	-0.0704328
goldstein	2	0	10000	3	2.51198e-05	1.26082e-08	-1
goldstein	3	0	10000	84	0.00037947	1.8	0.2
goldstein	4	0	10000	3	1.05985e-05	-1.26473e-08	-1
goldstein	5	0	10000	37932.7	30440.1	-3.92525	-3.61779
goldstein	6	0	10000	1.41435e+08	2.24964e+08	-5.05515	1.29325
goldstein	7	0	10000	84	0.000391285	1.8	0.2
goldstein	8	0	10000	159.433	1314.31	-0.633793	-0.661222
goldstein	9	0	10000	3	2.20083e-05	1.04091e-08	-1
goldstein	10	0	10000	336.017	2145.17	-0.638992	-0.797845
goldstein	11	0	10000	1.45375e+08	2.64272e+08	-0.601016	-4.61338
goldstein	12	0	10000	20614	37438.7	-1.90144	-1.52081
goldstein	13	0	10000	1.01851e+08	1.91312e+08	0.792468	4.49216
goldstein	14	0	10000	3	6.01921e-06	-1.36881e-08	-1
goldstein	15	0	10000	3.91858e+07	8.40791e+07	1.88795	3.92472
goldstein	16	0	10000	3	2.72184e-05	2.46655e-08	-1
goldstein	17	0	10000	3	3.49251e-05	-5.5468e-09	-1
goldstein	18	0	10000	840	0.000165446	1.2	0.8
goldstein	19	0	10000	6.76111e+07	1.37246e+08	-0.751911	-4.21617
goldstein	20	0	10000	84	5.07085e-05	1.8	0.2
goldstein	21	0	10000	3	1.13961e-05	9.2888e-09	-1
goldstein	22	0	10000	3	9.37879e-06	-1.14295e-08	-1
goldstein	23	0	10000	3	2.33683e-06	-1.65623e-09	-1
goldstein	24	0	10000	84	0.000370285	1.8	0.2
goldstein	25	0	10000	125.307	784.569	-0.269462	-0.435588
goldstein	26	0	10000	3	6.62664e-06	2.34547e-09	-1
goldstein	27	0	10000	84	0.000177309	1.8	0.2
goldstein	28	0	10000	840	0.00020918	1.2	0.8
goldstein	29	0	10000	84	0.00216146	1.8	0.199999
goldstein	30	0	10000	283.03	1954.66	-0.683698	-0.718485
goldstein	31	0	10000	31585.1	23422	-3.71445	-3.4754
goldstein	32	0	10000	31.3161	41.9605	-0.6496	-0.351753
goldstein	33	0	10000	67183.5	57958.5	-4.65442	-4.10484
goldstein	34	0	10000	3	3.6445e-05	-5.5969e-09	-1
goldstein	35	0	10000	3	1.27697e-05	-8.37285e-09	-1
goldstein	36	0	10000	3	2.43575e-05	4.48779e-08	-1
goldstein	37	0	10000	840	0.000263283	1.2	0.8
goldstein	38	0	10000	305483	1.7143e+06	9.06262	5.06565
goldstein	39	1	24	30	6.99361e-07	-0.6	-0.4
goldstein	40	0	10000	3	4.8357e-06	3.33332e-09	-1
goldstein	41	0	10000	3	2.56858e-05	1.38096e-08	-1
goldstein	42	0	10000	3.19684e+06	5.77019e+06	3.32495	-3.33693
goldstein	43	0	10000	84	0.000408821	1.8	0.2
goldstein	44	0	10000	3	6.50667e-06	-1.24424e-10	-1
goldstein	45	0	10000	84	0.00050117	1.8	0.2
goldstein	46	0	10000	3	6.3027e-06	4.4072e-09	-1
goldstein	47	0	10000	3	7.70612e-06	-6.53172e-09	-1
goldstein	48	0	10000	84	0.000472864	1.8	0.2
goldstein	49	0	10000	840	0.000174024	1.2	0.8
goldstein	50	1	24	30	1.58317e-07	-0.6	-0.4
goldstein	51	0	10000	3	0.000122338	-4.98381e-08	-1
goldstein	52	0	10000	3	1.47844e-05	4.31232e-09	-1
goldstein	53	0	10000	3	1.80253e-05	2.95154e-08	-1
goldstein	54	0	10000	3	1.8214e-06	2.88054e-10	-1
goldstein	55	0	10000	3	3.35322e-05	-2.43648e-08	-1
goldstein	56	0	10000	3	2.09319e-05	1.18593e-08	-1
goldstein	57	0	10000	840	0.000203704	1.2	0.8
goldstein	58	0	10000	3	1.62645e-05	5.2081e-09	-1
goldstein	59	0	10000	840	0.000184661	1.2	0.8
goldstein	60	0	10000	84	0.00126027	1.8	0.2
goldstein	61	0	10000	3	8.18298e-06	3.4565e-09	-1
goldstein	62	0	10000	84	0.00146777	1.8	0.200001
goldstein	63	0	10000	3	1.3373e-05	-9.77249e-10	-1
goldstein	64	0	10000	840	0.00022533	1.2	0.8
goldstein	65	0	10000	84	0.0010062	1.8	0.2
goldstein	66	0	10000	3	1.05052e-05	1.56402e-08	-1
goldstein	67	0	10000	1.38781e+08	3.17008e+08	-3.19435	-5.02074
goldstein	68	0	10000	84	7.60159e-05	1.8	0.2
goldstein	69	0	10000	3	1.22125e-05	-4.48645e-10	-1
goldstein	70	0	10000	18080.6	17414.9	-3.12684	-3.08563
goldstein	71	0	10000	3	1.02659e-05	1.13346e-08	-1
goldstein	72	0	10000	9.35743e+07	1.80359e+08	-0.57259	-4.37815
goldstein	73	0	10000	26218	20720	-3.5086	-3.3391
goldstein	74	0	10000	1.31726e+08	2.22637e+08	-5.0766	1.61475
goldstein	75	0	10000	3095.7	5696.36	3.70952	1.46714
goldstein	76	0	10000	1.9079e+08	3.37172e+08	0.538711	-4.8793
goldstein	77	0	10000	3	4.16664e-05	-3.58301e-08	-1
goldstein	78	0	10000	1.71969e+07	5.02807e+07	1.65802	-4.07985
goldstein	79	0	10000	3	2.44687e-05	2.13629e-08	-1
goldstein	80	0	10000	63.4071	833.57	0.304226	-0.960258
goldstein	81	0	10000	3	8.11647e-06	-6.8482e-09	-1
goldstein	82	0	10000	3	1.71025e-06	-1.68103e-09	-1
goldstein	83	0	10000	3	2.84265e-05	1.11922e-08	-1
goldstein	84	0	10000	18200.6	15612.9	-3.13458	-3.08865
goldstein	85	0	10000	3	1.23806e-05	-1.54971e-08	-1
goldstein	86	0	10000	1.10747e+08	2.71968e+08	4.84965	5.0142
goldstein	87	0	10000	840	0.000311688	1.2	0.8
goldstein	88	0	10000	84	0.00119029	1.8	0.2
goldstein	89	0	10000	3	3.36833e-05	3.40158e-08	-1
goldstein	90	0	10000	84	0.00120093	1.8	0.2
goldstein	91	0	10000	294.865	1990.08	-0.648709	-0.759084
goldstein	92	0	10000	3	3.79281e-06	8.60449e-10	-1
goldstein	93	0	10000	76261.4	45022.6	-4.83319	-4.22195
goldstein	94	0	10000	2.23011e+08	3.76725e+08	1.42368	4.85808
goldstein	95	0	10000	3	1.97869e-05	-7.00609e-09	-1
goldstein	96	0	10000	84	0.000501893	1.8	0.2
goldstein	97	0	10000	2289	3829.2	3.52411	1.35167
goldstein	98	0	10000	84	0.00110427	1.8	0.2
goldstein	99	0	10000	3	7.37039e-05	-7.49276e-09	-1
goldstein	100	0	10000	3	1.2226e-05	-1.4481e-08	-1
goldstein	101	0	10000	3	3.60452e-06	-2.50923e-09	-1
goldstein	102	0	10000	3	4.82459e-06	-5.69156e-09	-1
goldstein	103	1	19	30	2.4851e-07	-0.6	-0.4
goldstein	104	0	10000	84	0.00148191	1.8	0.2
goldstein	105	0	10000	3	2.12111e-05	7.98227e-09	-1
goldstein	106	0	10000	3	8.50603e-06	2.04934e-09	-1
goldstein	107	0	10000	3	4.63099e-06	1.35885e-08	-1
goldstein	108	1	20	30	2.34016e-09	-0.6	-0.4
goldstein	109	0	10000	840	0.000176393	1.2	0.8
goldstein	110	0	10000	3	6.44617e-06	2.78091e-09	-1
goldstein	111	0	10000	184046	405967	1.82942	-1.65197
goldstein	112	0	10000	96.5834	197.297	1.38407	-0.0690552
