fun	idx	status	iter	fval	norm	coord_0	coord_1
himmelblau	0	2	0	53.4582	62.6605	2.1723	0.543693
himmelblau	1	2	0	82.1558	57.1736	-0.0763448	3.48634
himmelblau	2	2	0	117.23	130.525	-4.01186	1.57603
himmelblau	3	2	0	30.7042	48.4664	2.75706	-0.224432
himmelblau	4	2	0	237.25	105.381	0.302182	-3.48879
himmelblau	5	2	0	237.372	250.579	-2.20324	-4.50909
himmelblau	6	2	0	358.951	341.925	-5.05515	1.29325
himmelblau	7	2	0	110.06	104.179	-0.0115783	3.83018
himmelblau	8	2	0	251.314	235.472	-4.6503	0.834625
himmelblau	9	2	0	143.278	155.58	-0.41664	4.16689
himmelblau	10	2	0	414.802	307.62	1.41168	-4.55847
himmelblau	11	2	0	419.834	290.145	-0.601009	-4.61338
himmelblau	12	2	0	108.787	29.4869	-3.41868	-0.0794443
himmelblau	13	2	0	229.788	239.48	0.7926	4.49215
himmelblau	14	2	0	215.427	76.4768	0.195119	-3.24126
himmelblau	15	2	0	118.251	154.658	1.88761	3.92479
himmelblau	16	2	0	139.912	61.2148	1.21141	-2.2816
himmelblau	17	2	0	152.587	41.2874	0.333275	0.392596
himmelblau	18	2	0	96.4609	52.4757	0.637683	1.57353
himmelblau	19	2	0	315.132	208.46	-0.751888	-4.21617
himmelblau	20	2	0	17.6745	33.1378	2.89686	0.628113
himmelblau	21	2	0	141.056	212.871	4.87339	-2.97987
himmelblau	22	2	0	67.6903	2.3571	0.142697	2.8994
himmelblau	23	2	0	66.7895	67.1396	2.15224	-0.261289
himmelblau	24	2	0	42.484	58.2861	2.5446	-0.335227
himmelblau	25	2	0	54.5348	98.1592	-3.74196	2.38576
himmelblau	26	2	0	8.98794	27.2232	-2.21953	3.11153
himmelblau	27	2	0	30.8933	50.8996	2.76186	-0.516036
himmelblau	28	2	0	45.1679	93.7066	3.07511	3.22966
himmelblau	29	2	0	88.8801	151.62	3.86251	3.0755
himmelblau	30	2	0	313.65	353.213	-5.03514	2.68056
himmelblau	31	2	0	147.528	227.878	-3.15562	-4.5744
himmelblau	32	2	0	189.972	260.661	-4.97419	-2.13224
himmelblau	33	2	0	449.932	333.205	-0.982544	-4.80981
himmelblau	34	2	0	33.0713	63.7066	2.7426	-2.22868
himmelblau	35	2	0	9.895	33.5673	-2.61478	2.62158
himmelblau	36	2	0	176.411	18.0495	0.225852	-2.17452
himmelblau	37	2	0	14.4597	40.3887	2.56271	1.44421
himmelblau	38	2	0	349.258	339.772	0.184326	4.95071
himmelblau	39	2	0	78.9134	59.1643	-2.02687	1.42342
himmelblau	40	2	0	19.2289	66.9912	-4.3089	-3.64215
himmelblau	41	2	0	61.5592	81.3019	-2.50616	-3.12292
himmelblau	42	2	0	65.4175	108.9	3.32936	-3.32862
himmelblau	43	2	0	114.242	188.274	4.56862	0.617685
himmelblau	44	2	0	105.015	183.789	-4.94092	-3.99871
himmelblau	45	2	0	93.9248	27.7299	-2.93618	0.634762
himmelblau	46	2	0	0.352922	7.3	-2.79471	3.03656
himmelblau	47	2	0	162.038	125.144	-1.65125	-3.6285
himmelblau	48	2	0	6.29361	11.0158	3.25939	1.16593
himmelblau	49	2	0	23.7473	49.2714	2.38546	1.33812
himmelblau	50	2	0	112.838	46.0665	-2.10511	0.577347
himmelblau	51	2	0	149.104	51.6891	0.94652	-1.42858
himmelblau	52	2	0	525.096	466.706	4.14642	-5.07358
himmelblau	53	2	0	74.0001	134.626	-4.01121	2.7219
himmelblau	54	2	0	172.85	25.6212	-0.590191	-2.25236
himmelblau	55	2	0	76.5897	144.782	-4.45688	-2.3654
himmelblau	56	2	0	360.314	346.832	2.96711	-4.66183
himmelblau	57	2	0	202.516	258.071	4.42414	3.2417
himmelblau	58	2	0	128.875	63.0817	1.29609	-1.23988
himmelblau	59	2	0	71.6481	49.4856	0.959569	1.93362
himmelblau	60	2	0	11.1322	33.9305	2.73812	1.31885
himmelblau	61	2	0	141.464	80.1516	-1.48451	-3.0635
himmelblau	62	2	0	95.2627	71.8424	1.78832	-1.16128
himmelblau	63	2	0	81.2646	71.6831	-2.22851	-2.53604
himmelblau	64	2	1	7.73534	21.1914	2.99155	1.17052
himmelblau	65	2	1	2.01705	13.0475	2.91911	2.34408
himmelblau	66	2	1	177.473	10.1193	-0.339042	-1.86396
himmelblau	67	2	1	17.9096	70.3667	-3.60197	-3.7975
himmelblau	68	2	1	0.696549	10.4923	3.07758	2.12321
himmelblau	69	2	1	35.0963	55.9334	2.29497	1.04239
himmelblau	70	2	1	11.8759	47.9804	-3.91119	-2.79464
himmelblau	71	2	1	10.2084	35.5686	3.42413	-2.49687
himmelblau	72	2	1	158.71	49.2051	-1.02302	-2.5565
himmelblau	73	2	1	29.2691	52.5839	-3.04838	-2.60383
himmelblau	74	2	1	49.4575	56.1271	-2.32901	1.83653
himmelblau	75	2	1	4.68156	19.8393	2.81247	2.50407
himmelblau	76	2	1	178.545	3.57913	-0.136659	-2.09653
himmelblau	77	2	1	24.8994	67.5217	-3.98192	-2.55961
himmelblau	78	2	1	151.512	48.0212	-1.21635	-1.91109
himmelblau	79	2	1	2.7117	18.5835	-2.61334	2.9222
himmelblau	80	2	1	18.4023	44.4035	2.3123	1.72297
himmelblau	81	2	1	79.0175	40.369	-2.98673	1.07449
himmelblau	82	2	1	0.346921	8.35886	3.66428	-1.89353
himmelblau	83	2	1	1.85589	18.02	3.72078	-1.63088
himmelblau	84	2	1	7.40132	32.3	-3.40517	-3.03262
himmelblau	85	2	1	6.49117	34.8641	-2.97677	3.4843
himmelblau	86	2	1	44.173	95.2932	3.34143	3.07588
himmelblau	87	2	1	14.1523	38.4544	-2.36536	2.61558
himmelblau	88	2	1	2.97767	12.1603	3.61299	-1.34648
himmelblau	89	2	1	13.9814	48.158	3.9054	-1.06634
himmelblau	90	2	1	11.9083	35.9222	3.12478	-1.19341
himmelblau	91	2	1	8.34052	26.4844	-2.2437	3.1072
himmelblau	92	2	1	35.5564	103.401	4.31041	-1.6172
himmelblau	93	2	1	1.31033	16.4313	-3.92947	-3.3644
himmelblau	94	2	1	50.9775	44.8734	1.31557	2.18671
himmelblau	95	2	1	0.593057	9.87362	3.65934	-1.72075
himmelblau	96	2	0	7.91585	26.8545	2.74135	2.63449
himmelblau	97	2	0	80.4595	52.8722	0.355362	3.40844
himmelblau	98	2	0	104.03	16.7062	-2.84075	0.15837
himmelblau	99	2	0	63.6252	65.8539	-2.55965	-2.30555
himmelblau	100	2	0	107.517	80.368	-1.89344	-2.95265
himmelblau	101	2	0	90.4194	38.7976	-2.89959	-1.05794
himmelblau	102	2	0	38.6491	109.322	4.35571	-1.77647
himmelblau	103	2	0	128.02	47.3084	-0.124631	1.20067
himmelblau	104	2	0	14.4986	40.5233	-2.15748	3.40193
himmelblau	105	2	0	189.118	112.273	1.30568	-3.33638
himmelblau	106	2	0	144.042	55.2329	1.0408	-1.30316
himmelblau	107	2	0	168.209	246.122	-4.93073	-2.26592
himmelblau	108	2	0	133.953	42.8157	-1.80937	0.181264
himmelblau	109	2	0	39.3312	98.0739	3.76384	2.45348
himmelblau	110	2	0	59.0714	47.6649	-3.22933	-1.69898
himmelblau	111	2	0	109.598	191.592	4.69169	-0.70176
himmelblau	112	2	0	78.2884	134.114	3.29982	3.44886
himmelblau	113	2	0	33.6149	62.8659	2.6636	-1.75437
himmelblau	114	2	0	344.829	261.962	-1.18221	-4.50131
himmelblau	115	2	0	36.5826	52.9489	-2.38607	2.06826
himmelblau	116	2	0	27.6026	50.0888	2.49813	0.943596
himmelblau	117	2	0	2.08455	17.5929	-3.0071	3.0017
himmelblau	118	2	0	1.41125	10.5244	3.58884	-2.13793
himmelblau	119	2	0	145.823	158.268	0.964065	4.06343
himmelblau	120	2	0	98.7341	48.1573	0.319999	1.70512
himmelblau	121	2	0	62.9045	34.4184	0.839754	2.3793
himmelblau	122	2	0	16.7896	26.4643	3.12276	-0.258905
himmelblau	123	2	0	152.899	208.392	-3.99505	4.37125
himmelblau	124	2	0	398.832	378.944	4.33583	-4.73266
himmelblau	125	2	0	109.302	62.7494	1.24686	0.534292
himmelblau	126	2	0	32.5332	89.8604	3.81688	2.04621
himmelblau	127	2	0	741.282	579.554	4.93177	4.73739
himmelblau	128	2	1	22.9016	85.2673	-4.28905	-3.04795
himmelblau	129	2	1	160.848	42.0282	0.696674	-1.34969
himmelblau	130	2	1	18.4499	36.5275	3.03846	-0.631433
himmelblau	131	2	1	24.6486	46.6675	-2.12446	2.48668
himmelblau	132	2	1	0.763932	10.4105	3.50762	-2.0038
himmelblau	133	2	1	0.613835	8.52773	-2.66476	3.13966
himmelblau	134	2	1	5.67688	26.6399	2.59027	1.96859
himmelblau	135	2	1	74.0404	67.2646	-2.42124	-2.23115
himmelblau	136	2	1	2.68943	18.5256	-2.61564	2.92203
himmelblau	137	2	1	2.99871	14.0774	2.75807	2.37553
himmelblau	138	2	1	104.71	9.92149	-2.92321	-0.055196
himmelblau	139	2	1	1.57245	14.2078	-2.60365	3.21815
himmelblau	140	2	1	1.50735	14.9872	-3.00907	3.17207
himmelblau	141	2	1	5.33988	26.2315	-3.49332	-3.00843
himmelblau	142	2	1	1.37802	15.8158	3.43673	-1.95559
himmelblau	143	2	1	21.0354	35.8985	2.98699	-0.266568
himmelblau	144	2	1	94.9452	74.3851	-2.0279	-2.7046
himmelblau	145	2	1	3.31722	17.2406	2.65616	2.22027
himmelblau	146	2	1	136.438	240.895	-5.1098	-3.43378
himmelblau	147	2	1	0.968108	15.1675	-3.65105	-3.29388
himmelblau	148	2	1	54.9243	49.5615	-3.00086	1.61234
himmelblau	149	2	1	60.3832	71.9496	2.26676	-1.57894
himmelblau	150	2	1	0.297687	8.05739	3.65941	-1.85501
himmelblau	151	2	1	10.9053	48.1432	-2.72397	3.60918
himmelblau	152	2	1	0.0341054	2.25142	-2.78249	3.15179
himmelblau	153	2	1	43.9401	33.6348	-1.1909	3.07597
himmelblau	154	2	1	75.8214	52.6545	-2.81267	-1.56657
himmelblau	155	2	1	1.81022	14.7655	3.42454	-1.59629
himmelblau	156	2	1	95.4664	49.9979	-3.5842	-0.925737
himmelblau	157	2	1	63.8486	20.7467	0.658817	2.97007
himmelblau	158	2	1	4.88123	24.4347	2.7982	1.62073
himmelblau	159	2	1	22.9987	56.4118	3.08916	-2.5565
himmelblau	160	2	0	155.822	227.286	4.4467	2.72335
himmelblau	161	2	0	180.102	8.07027	-0.0696388	-1.30286
himmelblau	162	2	0	116.379	176.212	-4.06907	4.00732
himmelblau	163	2	0	134.192	58.9276	-1.48315	-2.20868
himmelblau	164	2	0	219.446	304.357	-3.91556	-5.07058
himmelblau	165	2	0	37.6155	90.7922	-3.71767	2.93057
himmelblau	166	2	0	196.987	263.036	4.58918	2.82415
himmelblau	167	2	0	65.9355	70.0763	2.19758	-0.888131
himmelblau	168	2	0	91.0949	188.625	-4.813	-3.01578
himmelblau	169	2	0	302.096	312.466	3.24778	-4.51748
himmelblau	170	2	0	405.627	398.612	2.06	5.00035
himmelblau	171	2	0	180.753	5.23993	-0.147883	-1.24134
himmelblau	172	2	0	774.086	596.795	4.98548	4.76332
himmelblau	173	2	0	18.5153	37.8716	-1.95598	3.28632
himmelblau	174	2	0	34.889	80.9712	-4.05425	-2.44196
himmelblau	175	2	0	269.811	336.926	5.10834	1.33029
himmelblau	176	2	0	59.8915	64.479	2.18825	0.13573
himmelblau	177	2	0	130.8	46.7523	-0.135027	1.14243
himmelblau	178	2	0	96.4756	36.6289	-2.60525	0.667263
himmelblau	179	2	0	99.4233	150.181	-4.10497	2.32234
himmelblau	180	2	0	169.214	34.2254	0.556479	-2.23902
himmelblau	181	2	0	151.047	48.2322	-1.32641	-1.58189
himmelblau	182	2	0	60.1139	145.268	-4.5811	-2.90316
himmelblau	183	2	0	201.627	181.326	-4.48218	-0.456677
himmelblau	184	2	0	239.125	263.045	1.6458	4.51095
himmelblau	185	2	0	263.719	252.997	-4.71408	1.02466
himmelblau	186	2	0	186.469	193.213	-2.08835	-4.17461
himmelblau	187	2	0	53.0245	62.8771	2.07359	0.806311
himmelblau	188	2	0	87.5565	147.791	4.52718	-3.04098
himmelblau	189	2	0	101.493	63.6439	1.2953	0.701309
himmelblau	190	2	0	126.956	156.544	-0.996354	4.20154
himmelblau	191	2	0	177.357	245.766	-4.46987	-4.91444
himmelblau	192	2	0	147.743	227.559	4.64139	1.61019
himmelblau	193	2	0	140.369	48.1863	0.520449	0.590806
himmelblau	194	2	0	349.006	371.267	-5.01265	4.04388
himmelblau	195	2	0	24.1414	39.6722	2.85676	0.158779
himmelblau	196	2	0	4.62485	23.6963	-2.54862	2.85758
himmelblau	197	2	0	73.355	145.399	4.56936	-2.6503
himmelblau	198	2	0	57.7902	48.6918	-2.95984	1.54582
himmelblau	199	2	0	200.015	279.668	-4.18638	-5.02486
himmelblau	200	2	0	122.676	72.0339	1.53485	-2.42407
himmelblau	201	2	0	137.87	217.313	4.60985	1.48987
himmelblau	202	2	0	95.818	52.8187	-2.53425	-1.30893
himmelblau	203	2	0	154.683	44.4685	-1.36835	-1.1983
himmelblau	204	2	0	139.631	50.2465	0.673467	0.44392
himmelblau	205	2	0	185.656	83.7841	-0.953725	-3.26442
himmelblau	206	2	0	160.215	138.679	-4.15038	0.779916
himmelblau	207	2	0	78.5461	166.154	4.65239	-1.84559
himmelblau	208	2	0	83.0349	58.1368	1.08031	1.49663
himmelblau	209	2	0	120.041	204.831	-3.30532	-4.50115
himmelblau	210	2	0	456.311	404.169	4.94912	-4.63563
himmelblau	211	2	0	3.14474	16.9397	3.28438	1.62621
himmelblau	212	2	0	94.9655	143.769	4.34994	-3.35543
himmelblau	213	2	0	109.794	70.4115	-1.82457	-2.57439
himmelblau	214	2	0	575.505	489.068	4.67357	4.55247
himmelblau	215	2	0	361.689	322.956	-5.04805	0.310872
himmelblau	216	2	0	325.197	319.799	2.91454	-4.54776
himmelblau	217	2	0	114.158	91.4848	-3.79014	1.02414
himmelblau	218	2	0	188.1	239.072	4.15421	3.52906
himmelblau	219	2	0	600.996	431.302	1.28529	-5.05498
himmelblau	220	2	0	447.93	403.948	4.67129	-4.75447
himmelblau	221	2	0	307.586	240.981	-1.33171	-4.40127
himmelblau	222	2	0	504.084	444.16	4.52821	-4.94528
himmelblau	223	2	0	413.068	388.344	0.648443	5.09122
himmelblau	224	2	0	438.478	408.324	4.36113	4.41447
himmelblau	225	2	0	271.68	286.796	3.13049	-4.40128
himmelblau	226	2	0	78.9868	48.7829	-0.00331326	3.4098
himmelblau	227	2	0	122.423	71.0421	-3.79758	-0.394117
himmelblau	228	2	0	47.2011	36.1242	1.37223	2.93786
himmelblau	229	2	0	77.3748	127.923	-1.73301	4.07514
himmelblau	230	2	0	247.01	298.198	-3.73317	4.93329
himmelblau	231	2	0	336.797	360.009	-1.24193	5.10593
himmelblau	232	2	0	124.846	43.9842	-2.16332	-0.665224
