fun	idx	status	iter	fval	norm	coord_0	coord_1
rosenbrock	0	2	9	0.712108	2.37289	0.16312	0.0157732
rosenbrock	1	2	9	0.000238953	0.245346	0.985802	0.971195
rosenbrock	2	2	9	6.65902e-15	6.17008e-06	1	1
rosenbrock	3	2	9	0.0467215	4.53687	0.82394	0.666337
rosenbrock	4	2	9	0.0189057	2.92379	1.12619	1.26284
rosenbrock	5	2	9	0.538608	4.75188	0.285677	0.0984485
rosenbrock	6	2	9	8.85107e-16	2.40248e-05	1	1
rosenbrock	7	2	9	0.0207267	1.90804	0.866287	0.745117
rosenbrock	8	2	9	0.0246401	1.6071	0.850259	0.718231
rosenbrock	9	2	9	0.0209654	1.01701	0.85867	0.734165
rosenbrock	10	2	9	0.129292	7.12888	0.713838	0.487793
rosenbrock	11	2	9	0.0011486	1.4721	1.01049	1.01787
rosenbrock	12	2	9	0.720729	2.07599	0.155445	0.0155288
rosenbrock	13	2	9	3.41187e-13	5.90156e-05	1	1
rosenbrock	14	2	9	3.89079e-14	3.54438e-05	1	1
rosenbrock	15	2	9	1.99415	5.31524	-0.407121	0.153845
rosenbrock	16	2	9	7.3747e-05	0.342249	1.00426	1.00779
rosenbrock	17	2	9	0.0113098	0.748677	0.896059	0.800672
rosenbrock	18	2	9	0.0540503	0.75252	0.769438	0.589049
rosenbrock	19	2	9	5.19639e-06	0.0328501	1.00219	1.00431
rosenbrock	20	2	9	3.27106	11.0541	-0.796547	0.613634
rosenbrock	21	2	9	0.00191809	1.31993	1.03418	1.06679
rosenbrock	22	2	9	1.81095e-05	0.0715865	1.00401	1.00789
rosenbrock	23	2	9	0.0216209	1.45912	0.859277	0.734093
rosenbrock	24	2	9	0.0160858	2.79881	0.895987	0.795535
rosenbrock	25	2	9	2.0549	5.58009	-0.428056	0.17076
rosenbrock	26	2	9	0.000701916	0.775287	0.980911	0.960349
rosenbrock	27	2	9	2.09739	6.491	-0.439542	0.177353
rosenbrock	28	2	9	0.0260479	0.888297	0.841285	0.704832
rosenbrock	29	2	9	0.000603453	0.163771	0.975884	0.951882
rosenbrock	30	2	9	0.0426839	2.18833	0.80432	0.640303
rosenbrock	31	2	9	0.0410532	0.449837	0.798332	0.635376
rosenbrock	32	2	19	2.84881e-14	1.52792e-05	1	1
rosenbrock	33	2	19	4.01255e-15	1.15292e-06	1	1
rosenbrock	34	2	19	8.51204e-15	2.02431e-05	1	1
rosenbrock	35	2	19	8.13414e-14	3.78487e-05	1	1
rosenbrock	36	2	19	2.03171e-13	7.27567e-05	1	1
rosenbrock	37	2	19	1.07521e-14	1.4218e-05	1	1
rosenbrock	38	2	19	5.33138e-14	1.18493e-05	1	1
rosenbrock	39	1	13	4.55695e-15	1.12407e-08	1	1
rosenbrock	40	1	16	3.44952e-14	8.70876e-07	1	1
rosenbrock	41	2	19	0.000272168	0.719238	0.997082	0.992549
rosenbrock	42	2	19	1.68067e-07	0.0121304	1.00032	1.00061
rosenbrock	43	2	19	0.123515	6.83222	1.33417	1.76913
rosenbrock	44	1	18	2.27624e-13	4.45274e-07	1	0.999999
rosenbrock	45	2	19	0.0216036	2.19752	0.866105	0.744076
rosenbrock	46	2	19	5.9282e-15	9.92435e-06	1	1
rosenbrock	47	2	19	2.8468e-13	6.91233e-05	1	1
rosenbrock	48	2	19	2.23837e-14	3.89605e-05	1	1
rosenbrock	49	2	19	1.06088e-13	1.07244e-05	1	1
rosenbrock	50	2	19	5.15308e-14	5.72524e-05	1	1
rosenbrock	51	2	19	1.07651e-14	1.68858e-05	1	1
rosenbrock	52	2	19	0.00710936	2.55404	0.943035	0.883099
rosenbrock	53	2	19	2.28718e-14	8.14006e-06	1	1
rosenbrock	54	2	19	3.67859e-10	0.000700029	1.00001	1.00002
rosenbrock	55	2	19	9.87716e-10	0.00106629	1.00002	1.00004
rosenbrock	56	2	19	2.10623e-14	2.30323e-05	1	1
rosenbrock	57	2	19	4.41784e-13	7.47556e-06	1	1
rosenbrock	58	2	19	2.37e-16	4.26066e-06	1	1
rosenbrock	59	2	19	1.17469e-15	7.59993e-06	1	1
rosenbrock	60	2	19	0.862479	6.7184	0.134177	-0.0155866
rosenbrock	61	2	19	3.17016e-15	4.32918e-05	1	1
rosenbrock	62	2	19	0.0970062	1.05644	0.691626	0.473974
rosenbrock	63	2	19	9.00013e-15	1.73754e-05	1	1
rosenbrock	64	2	19	0.000263517	0.207865	1.01574	1.03134
rosenbrock	65	2	19	9.34635e-16	2.69171e-05	1	1
rosenbrock	66	2	19	2.95956e-11	6.9923e-06	0.999995	0.999989
rosenbrock	67	2	19	0.000670226	0.258524	0.974569	0.950268
rosenbrock	68	2	19	0.0895364	0.557598	0.701974	0.49009
rosenbrock	69	2	19	0.0864523	4.00942	0.733842	0.526029
rosenbrock	70	2	19	4.43908e-14	2.37372e-05	1	1
rosenbrock	71	1	10	2.06607e-16	6.5856e-07	1	1
rosenbrock	72	2	19	1.51089e-08	0.00188325	0.999886	0.999768
rosenbrock	73	2	19	1.8321e-15	1.54533e-05	1	1
rosenbrock	74	2	19	0.160561	5.61466	0.646341	0.398918
rosenbrock	75	2	19	1.81167e-13	1.57197e-05	1	1
rosenbrock	76	2	19	9.67356e-14	4.75586e-05	1	1
rosenbrock	77	2	19	4.48155e-15	8.90828e-06	1	1
rosenbrock	78	2	19	2.23716e-16	1.93434e-06	1	1
rosenbrock	79	2	19	0.692162	5.57461	0.215089	0.0186813
rosenbrock	80	2	19	1.40243e-14	2.10799e-05	1	1
rosenbrock	81	2	19	4.73142e-15	2.85448e-05	1	1
rosenbrock	82	2	19	7.05025e-16	4.70218e-06	1	1
rosenbrock	83	2	19	4.94168e-16	2.77215e-06	1	1
rosenbrock	84	1	5	1.42123e-12	4.7994e-07	1	1
