fun	N	iter	pso_iter	time	error	fnval	coordinates
rosenbrock	335544320	10000	0	9.1052226562499996020960680	0.0000000000000342586791379	0.0000000000000342586791379	1.0000000026999333879729193,0.9999999941140185200083579,0.9999999869310176592307471,0.9999999600067838168016010,0.9999999181576970652685077
rosenbrock	335544320	10000	1	28.3080703124999999431565811	0.0000000000000276781776035	0.0000000000000276781776035	0.9999999963540040504028639,0.9999999814871102232771705,0.9999999632924712056336602,0.9999999314394263372207661,0.9999998708265481761614524
rosenbrock	335544320	10000	2	42.8020937499999973852027324	0.0000000000000276781776035	0.0000000000000276781776035	0.9999999963540040504028639,0.9999999814871102232771705,0.9999999632924712056336602,0.9999999314394263372207661,0.9999998708265481761614524
rosenbrock	335544320	10000	3	57.5298085937499976694198267	0.0000000000000503129763353	0.0000000000000503129763353	0.9999999982115616026234761,0.9999999815490164811748741,0.9999999549278892896353454,0.9999999136384196685156667,0.9999998374009048118793430
rosenbrock	335544320	10000	4	72.0618281250000052295945352	0.0000000000000835426430916	0.0000000000000835426430916	1.0000000037615497383569618,1.0000000030744589096798336,0.9999999997734453360820339,0.9999999996676802727080258,1.0000000271694611253536777
rosenbrock	335544320	10000	5	86.3930156250000038653524825	0.0000000000000270545777382	0.0000000000000270545777382	0.9999999964524847184677014,0.9999999944159515541386440,1.0000000039221088599106224,1.0000000072507040371760922,1.0000000207527217632730299
rosenbrock	335544320	10000	6	100.7852968750000002273736754	0.0000000000000118825557281	0.0000000000000118825557281	1.0000000059870832735953172,1.0000000064432403856784504,1.0000000193559759331662917,1.0000000392498273882324611,1.0000000733844727207610958
rosenbrock	335544320	10000	7	115.2606640624999982946974342	0.0000000000000351823630409	0.0000000000000351823630409	1.0000000127584320885887337,1.0000000197981080418685451,1.0000000362571974665826247,1.0000000597572868965556836,1.0000001290447382285009326
rosenbrock	335544320	10000	8	129.3185312500000065938365879	0.0000000000000364291470106	0.0000000000000364291470106	0.9999999962910846029728873,0.9999999908286494321174587,0.9999999785252983164340890,0.9999999440812374906784044,0.9999998760652256679648531
rosenbrock	335544320	10000	9	143.3673593750000065938365879	0.0000000000000433592772384	0.0000000000000433592772384	1.0000000090666749663625978,1.0000000153133841163111128,1.0000000136250901672241298,1.0000000223375844488060693,1.0000000547962735186757754
rosenbrock	335544320	10000	10	158.3052812500000072759576142	0.0000000000000248688449703	0.0000000000000248688449703	0.9999999956922303034900779,0.9999999890079950271015718,0.9999999828630039555577014,0.9999999534806836010147890,0.9999999003561972354958698
rastrigin	335544320	10000	0	156.0122812500000009094947018	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000011962104866489100,-0.0000000232007749378498060,-0.0000000170086773175645467,0.0000000190021427835085328,-0.0000000016081540061738640
rastrigin	335544320	10000	1	29.1832890624999983231191436	0.0000000000000000000000000	0.0000000000000000000000000	0.0000000119224571655766068,-0.0000000063007813080764950,-0.0000000031866216701901387,-0.0000000127121336537897598,-0.0000000049480899535049930
