fun	N	iter	pso_iter	time	error	fnval	coordinates
rosenbrock	335544320	10000	0	9.10554882812500033	0.00000000000003426	0.00000000000003426	1.00000000269993339,0.99999999411401852,0.99999998693101766,0.99999996000678382,0.99999991815769707
rosenbrock	335544320	10000	1	0.14477159118652344	0.00000000000006593	0.00000000000006593	1.00000001001725369,0.99999999796491035,0.99999999437787968,0.99999998087101138,0.99999997187141221
rosenbrock	335544320	10000	2	0.14493017578125000	0.00000000000002768	0.00000000000002768	0.99999999635400405,0.99999998148711022,0.99999996329247121,0.99999993143942634,0.99999987082654818
rosenbrock	335544320	10000	3	0.14535430908203126	0.00000000000002768	0.00000000000002768	0.99999999635400405,0.99999998148711022,0.99999996329247121,0.99999993143942634,0.99999987082654818
rosenbrock	335544320	10000	4	0.14525871276855468	0.00000000000005418	0.00000000000005418	0.99999997829864451,0.99999995659229890,0.99999991355638684,0.99999983693625671,0.99999966487430603
rosenbrock	335544320	10000	5	0.14524015808105470	0.00000000000005929	0.00000000000005929	0.99999999905918124,0.99999998966595860,0.99999996893050569,0.99999992802646742,0.99999987199162754
rosenbrock	335544320	10000	6	0.14557232666015624	0.00000000000002705	0.00000000000002705	0.99999999645248472,0.99999999441595155,1.00000000392210886,1.00000000725070404,1.00000002075272176
rosenbrock	335544320	10000	7	0.14550544738769530	0.00000000000001188	0.00000000000001188	1.00000000598708327,1.00000000644324039,1.00000001935597593,1.00000003924982739,1.00000007338447272
rosenbrock	335544320	10000	8	0.14545948791503907	0.00000000000001188	0.00000000000001188	1.00000000598708327,1.00000000644324039,1.00000001935597593,1.00000003924982739,1.00000007338447272
rosenbrock	335544320	10000	9	0.14517549133300781	0.00000000000003871	0.00000000000003871	0.99999999881290491,0.99999999765890191,1.00000000310104320,1.00000002407012856,1.00000004928313313
rosenbrock	335544320	10000	10	0.14531546020507813	0.00000000000003624	0.00000000000003624	1.00000001042375053,1.00000002685646106,1.00000004269241782,1.00000008483735381,1.00000015937664699
rastrigin	335544320	10000	0	156.01550000000000296	0.00000000000000000	0.00000000000000000	0.00000000119621049,-0.00000002320077494,-0.00000001700867732,0.00000001900214278,-0.00000000160815401
rastrigin	335544320	10000	0	156.01514062499998658	0.00000000000000000	0.00000000000000000	0.00000000119621049,-0.00000002320077494,-0.00000001700867732,0.00000001900214278,-0.00000000160815401
rastrigin	335544320	10000	1	307.16228124999997817	0.00000000000000000	0.00000000000000000	-0.00000000042032554,0.00000000931868317,-0.00000003564833861,0.00000000396045943,-0.00000002315855727
rastrigin	335544320	10000	2	0.41056192016601561	0.00000000000000000	0.00000000000000000	0.00000001192245717,-0.00000000630078131,-0.00000000318662167,-0.00000001271213365,-0.00000000494808995
rastrigin	335544320	10000	3	0.09687184143066406	0.00000000000000000	0.00000000000000000	0.00000001856841243,-0.00000000736475147,0.00000000772081550,-0.00000001652566288,-0.00000002148042450
rastrigin	335544320	10000	4	0.09631993865966797	0.00000000000000000	0.00000000000000000	-0.00000000020889120,0.00000000577106207,-0.00000000061524774,-0.00000000264990520,-0.00000000129081751
rastrigin	335544320	10000	5	0.09653174591064453	0.00000000000000000	0.00000000000000000	0.00000000395795903,0.00000000521784787,0.00000000327187238,0.00000000151314643,0.00000000128610015
rastrigin	335544320	10000	6	0.09618192291259765	0.00000000000000000	0.00000000000000000	0.00000000820608010,0.00000000047767496,-0.00000000055912882,-0.00000001575543268,-0.00000000466662825
rastrigin	335544320	10000	7	0.09629539489746093	0.00000000000000000	0.00000000000000000	-0.00000000541160727,0.00000001340720629,-0.00000000027140788,0.00000000331789425,-0.00000001453805667
rastrigin	335544320	10000	8	0.09639949035644531	0.00000000000000000	0.00000000000000000	-0.00000000287805225,-0.00000000366803160,0.00000000365845144,-0.00000000116375519,0.00000000168517812
rastrigin	335544320	10000	9	0.09643488311767578	0.00000000000000000	0.00000000000000000	-0.00000002579268731,0.00000002339065695,-0.00000000934222265,0.00000001773379421,-0.00000001443353503
rastrigin	335544320	10000	10	0.09604994964599610	0.00000000000000000	0.00000000000000000	-0.00000003272697307,0.00000002533351070,-0.00000004034216383,0.00000001158379049,0.00000001674333849
ackley	335544320	10000	0	9.08680664062499943	0.09164280937472613	0.09164280937472613	-0.01663105949293199,0.02428823296006840,-0.00418398510443076,-0.02763865087480826,0.00694495037267969
ackley	335544320	10000	1	0.19085891723632811	0.02369548705158708	0.02369548705158708	0.00027165556803102,-0.00689737495080846,-0.00910008214263462,0.00465641697106105,0.00036498034983432
ackley	335544320	10000	2	0.19119587707519531	0.00073062309302374	0.00073062309302374	-0.00011693313352961,-0.00021668441103725,0.00027874343211398,-0.00016433109630344,-0.00002609776646935
ackley	335544320	10000	3	0.19098275756835936	0.00066670473658847	0.00066670473658847	0.00015797334752166,-0.00025159013274448,0.00006766392427399,0.00020808048440104,-0.00004650355011278
ackley	335544320	10000	4	0.19071282958984376	0.00039566774256672	0.00039566774256672	0.00000831329899027,0.00009331924806355,0.00018942709692135,-0.00005660682431364,0.00003049279317651
ackley	335544320	10000	5	0.19113565063476562	0.00025417235870195	0.00025417235870195	0.00000461508102687,-0.00002303752848406,0.00000380052028556,0.00013552938150379,-0.00003492634082554
ackley	335544320	10000	6	0.19091011047363282	0.00007655809848162	0.00007655809848162	0.00003175105478830,-0.00000103014080993,-0.00000129765336493,-0.00002863194257498,-0.00000010682314235
ackley	335544320	10000	7	0.19087222290039063	0.00001904771681582	0.00001904771681582	0.00000626006690466,0.00000552502499238,0.00000473807771837,0.00000183175519964,-0.00000422450325704
ackley	335544320	10000	8	0.19121463012695311	0.00002863077777748	0.00002863077777748	0.00001538197844713,-0.00000026148964920,-0.00000206875177302,-0.00000354189145379,-0.00000161733411441
ackley	335544320	10000	9	0.19109887695312500	0.00000996336404357	0.00000996336404357	-0.00000098351987587,-0.00000339671375210,0.00000158576550253,0.00000361250948869,-0.00000171742092367
ackley	335544320	10000	10	0.19108396911621095	0.00000524939202551	0.00000524939202551	-0.00000141242405174,0.00000208765225567,0.00000135221101118,-0.00000037545200812,0.00000053694790974
