fun	N	iter	pso_iter	time	error	fnval	coord_1	coord_2	coord_3	coord_4	coord_5
rosenbrock	131072	10000	0	9.63635	4.93797e-15	4.937972e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	1	24.3882	3.49085e-15	3.490852e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	2	33.0881	2.5087e-15	2.508704e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	3	42.0851	7.24885e-15	7.248852e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	4	50.2068	1.81083e-15	1.810827e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	5	59.3092	1.78586e-15	1.785860e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	6	68.0904	3.30341e-15	3.303413e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	7	77.5652	1.50476e-15	1.504758e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	8	86.4752	2.94217e-15	2.942173e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	9	94.6834	3.65528e-15	3.655278e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rosenbrock	131072	10000	10	103.903	4.32356e-15	4.323559e-15	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
rastrigin	131072	10000	0	1074.66	5.90088e-11	5.900880e-11	5.284039e-07	1.212333e-06	-2.581571e-06	-5.066107e-06	-4.993143e-06
rastrigin	131072	10000	1	1087.63	1.58096e-13	1.580958e-13	2.095062e-07	1.793025e-07	2.504358e-07	1.507002e-07	2.277366e-08
rastrigin	131072	10000	2	1094.73	0	0.000000e+00	-8.752374e-10	2.148270e-09	1.881787e-08	-6.653632e-09	-5.966076e-09
rastrigin	131072	10000	3	1105.9	0	0.000000e+00	7.868699e-09	-7.411384e-09	-7.739543e-09	1.484990e-08	4.746330e-09
rastrigin	131072	10000	4	49.7033	0	0.000000e+00	-5.121352e-09	-6.342538e-09	-8.944311e-09	-5.744942e-09	3.577526e-09
rastrigin	131072	10000	5	58.3871	0	0.000000e+00	1.656061e-09	1.464897e-10	2.302040e-09	-1.833422e-09	-1.450906e-09
rastrigin	131072	10000	6	67.849	0	0.000000e+00	5.783541e-10	2.248467e-08	1.010848e-08	8.043613e-09	1.164453e-08
rastrigin	131072	10000	7	77.3427	0	0.000000e+00	-9.326306e-09	2.391583e-09	1.616093e-08	3.404331e-09	7.284163e-09
rastrigin	131072	10000	8	86.3755	0	0.000000e+00	1.074793e-08	-1.936495e-08	1.366620e-08	8.485843e-09	-9.687809e-09
rastrigin	131072	10000	9	94.0956	0	0.000000e+00	-1.549390e-08	-1.008428e-08	5.656125e-09	9.764002e-09	2.115457e-08
rastrigin	131072	10000	10	104.256	0	0.000000e+00	-2.718510e-08	2.960979e-09	-3.844313e-08	4.574538e-09	2.231749e-08
ackley	131072	10000	0	9.41235	0.0916428	9.164281e-02	-1.663106e-02	2.428823e-02	-4.183985e-03	-2.763865e-02	6.944950e-03
ackley	131072	10000	1	25.25	0.000787901	7.879007e-04	-2.556346e-04	2.322615e-04	2.697710e-04	8.390044e-06	2.905007e-05
ackley	131072	10000	2	36.9483	0.00131226	1.312258e-03	-4.514263e-04	1.574827e-04	5.304212e-04	-1.492784e-04	3.555866e-05
ackley	131072	10000	3	46.9183	9.33716e-05	9.337158e-05	8.856967e-06	-8.890759e-06	3.022516e-05	-3.315339e-05	2.350664e-05
ackley	131072	10000	4	56.6612	0.000176766	1.767655e-04	4.210759e-05	7.479714e-05	4.277174e-05	-8.222563e-06	-2.209584e-05
ackley	131072	10000	5	67.248	3.56687e-05	3.566873e-05	3.692458e-06	-9.758167e-06	6.319881e-06	3.498686e-06	1.537688e-05
ackley	131072	10000	6	77.3087	6.11575e-05	6.115750e-05	1.143375e-05	2.200548e-05	1.426169e-05	1.653763e-05	8.745766e-06
ackley	131072	10000	7	88.6597	5.08912e-06	5.089124e-06	7.991681e-07	-4.701682e-07	-2.039655e-06	-1.122282e-06	1.346768e-06
ackley	131072	10000	8	98.1326	2.81597e-05	2.815967e-05	2.811927e-07	2.300644e-06	-3.779988e-06	-1.077927e-05	1.057841e-05
ackley	131072	10000	9	107.443	4.12886e-06	4.128863e-06	-1.839365e-08	-3.842005e-09	-1.091205e-08	-5.972052e-07	2.229366e-06
ackley	131072	10000	10	118.173	1.69144e-06	1.691443e-06	2.514952e-07	-4.484099e-08	-6.022502e-08	-9.652970e-08	9.032389e-07
