OptIndex Step X_0 X_1
0 0 -4.03761 -3.04703
0 1 -3.64782 -3.09965
0 2 -3.71218 -3.08781
0 3 -3.71218 -3.08781
0 4 -3.71218 -3.08781
0 5 -3.71218 -3.08781
0 6 -3.71218 -3.08781
0 7 -3.71218 -3.08781
0 8 -3.71218 -3.08781
0 9 -3.71218 -3.08781
0 10 -3.71532 -3.09492
0 11 -3.8138 -3.29586
0 12 -3.78649 -3.28355
0 13 -3.77959 -3.28157
0 14 -3.7793 -3.28284
1 0 -0.0634372 2.8236
1 1 -3.34943 4.02148
1 2 -3.34943 4.02148
1 3 -2.71098 3.96117
1 4 -2.15537 3.52396
1 5 -2.08029 3.44526
1 6 -2.08029 3.44526
1 7 -2.63094 3.49959
1 8 -2.83977 3.50449
1 9 -2.79522 3.49738
1 10 -2.79522 3.49738
1 11 -2.83284 3.35422
1 12 -2.87152 3.17887
1 13 -2.83447 3.14194
1 14 -2.80758 3.13098
2 0 -1.69248 1.52622
2 1 -2.79893 2.04654
2 2 -3.00242 2.81026
2 3 -3.08421 3.15473
2 4 -3.08421 3.15473
2 5 -3.08421 3.15473
2 6 -3.08421 3.15473
2 7 -3.08421 3.15473
2 8 -3.08421 3.15473
2 9 -3.08421 3.15473
2 10 -3.08421 3.15473
2 11 -3.08421 3.15473
2 12 -3.08421 3.15473
2 13 -3.08421 3.15473
2 14 -3.08421 3.15473
3 0 3.32322 -2.49866
3 1 3.32924 -1.86999
3 2 3.32924 -1.86999
3 3 3.51208 -1.96546
3 4 3.58194 -1.8069
3 5 3.57273 -1.81782
3 6 3.57273 -1.81782
3 7 3.57273 -1.81782
3 8 3.57273 -1.81782
3 9 3.57273 -1.81782
3 10 3.57273 -1.81782
3 11 3.57273 -1.81782
3 12 3.57273 -1.81782
3 13 3.57273 -1.81782
3 14 3.57273 -1.81782
4 0 3.35677 -2.35909
4 1 3.63024 -1.88808
4 2 3.60317 -1.8268
4 3 3.60317 -1.8268
4 4 3.60317 -1.8268
4 5 3.60317 -1.8268
4 6 3.60317 -1.8268
4 7 3.60317 -1.8268
4 8 3.60317 -1.8268
4 9 3.60317 -1.8268
4 10 3.60317 -1.8268
4 11 3.60317 -1.8268
4 12 3.60317 -1.8268
4 13 3.60317 -1.8268
4 14 3.60317 -1.8268
5 0 2.8311 1.98408
5 1 2.82971 2.0828
5 2 2.82971 2.0828
5 3 2.82962 2.09049
5 4 2.82962 2.09049
5 5 2.82962 2.09049
5 6 2.82962 2.09049
5 7 2.82962 2.09049
5 8 2.87612 2.09443
5 9 2.97597 2.08052
5 10 2.99403 2.00162
5 11 2.99904 1.99901
5 12 3.00003 2.00041
5 13 2.99987 2.00029
5 14 2.99987 2.00027
6 0 -3.20547 0.0952588
6 1 -3.13904 2.68484
6 2 -3.13904 2.68484
6 3 -3.13904 2.68484
6 4 -3.08277 2.64529
6 5 -3.00789 2.82211
6 6 -2.79748 3.21281
6 7 -2.84793 3.14279
6 8 -2.83646 3.14999
6 9 -2.82398 3.15531
6 10 -2.81391 3.14937
6 11 -2.81007 3.13702
6 12 -2.80298 3.13111
6 13 -2.80532 3.13162
6 14 -2.80516 3.13136
7 0 -1.08653 2.58737
7 1 -2.53777 2.68337
7 2 -2.94966 2.70956
7 3 -2.87119 2.6932
7 4 -2.87119 2.6932
7 5 -2.91908 3.05956
7 6 -2.83914 3.13751
7 7 -2.82693 3.14969
7 8 -2.82709 3.14953
7 9 -2.82709 3.14953
7 10 -2.82709 3.14953
7 11 -2.82709 3.14953
7 12 -2.82709 3.14953
7 13 -2.82709 3.14953
7 14 -2.82709 3.14953
8 0 3.36906 -0.279856
8 1 3.41793 -2.1161
8 2 3.41793 -2.1161
8 3 3.47058 -1.79887
8 4 3.49392 -1.88529
8 5 3.55698 -1.90693
8 6 3.58347 -1.83666
8 7 3.58104 -1.84113
8 8 3.58104 -1.84113
8 9 3.58104 -1.84113
8 10 3.58104 -1.84113
8 11 3.58104 -1.84113
8 12 3.58104 -1.84113
8 13 3.58104 -1.84113
8 14 3.58104 -1.84113
9 0 4.27089 -0.776298
9 1 4.16117 -1.82308
9 2 4.16117 -1.82308
9 3 4.10379 -2.16284
9 4 4.04452 -1.77977
9 5 3.73296 -1.35562
9 6 3.66039 -1.53546
9 7 3.54418 -1.59461
9 8 3.54541 -1.62478
9 9 3.58636 -1.91116
9 10 3.57902 -1.83287
9 11 3.58332 -1.84535
9 12 3.58452 -1.84672
9 13 3.58464 -1.84855
9 14 3.58465 -1.84813
10 0 -3.9565 -1.38438
10 1 -3.97975 -3.13048
10 2 -3.97975 -3.13048
10 3 -3.97975 -3.13048
10 4 -3.97975 -3.13048
10 5 -3.97975 -3.13048
10 6 -3.97975 -3.13048
10 7 -3.97975 -3.13048
10 8 -3.97975 -3.13048
10 9 -3.97975 -3.13048
10 10 -3.97975 -3.13048
10 11 -3.97975 -3.13048
10 12 -3.97975 -3.13048
10 13 -3.97975 -3.13048
10 14 -3.97975 -3.13048
11 0 -3.01051 -0.530825
11 1 -3.01409 -3.46921
11 2 -3.01409 -3.46921
11 3 -3.01409 -3.46921
11 4 -3.01409 -3.46921
11 5 -3.01409 -3.46921
11 6 -3.28614 -3.40937
11 7 -3.74729 -3.13495
11 8 -3.82875 -3.24053
11 9 -3.82079 -3.23675
11 10 -3.78319 -3.2503
11 11 -3.78044 -3.27655
11 12 -3.77682 -3.2824
11 13 -3.77913 -3.28362
11 14 -3.77925 -3.2834
12 0 -2.58169 2.24367
12 1 -2.58296 3.48691
12 2 -2.70057 3.15691
12 3 -2.74696 3.11448
12 4 -2.7654 3.09649
12 5 -2.7651 3.09677
12 6 -2.7651 3.09677
12 7 -2.80082 3.13183
12 8 -2.80526 3.13155
12 9 -2.80511 3.13133
12 10 -2.80512 3.13131
12 11 -2.80512 3.13131
12 12 -2.80512 3.13131
12 13 -2.80512 3.13131
12 14 -2.80512 3.13131
13 0 2.59869 2.61162
13 1 2.86941 2.52386
13 2 2.86941 2.52386
13 3 2.714 2.37505
13 4 2.72085 2.38147
13 5 2.72326 2.38285
13 6 2.78321 2.38739
13 7 2.96068 2.31239
13 8 2.96068 2.31239
13 9 2.96068 2.31239
13 10 2.86843 2.20152
13 11 2.86246 2.19448
13 12 2.86309 2.19468
13 13 2.93105 2.1868
13 14 2.98486 2.14669
14 0 3.42996 0.597152
14 1 3.32587 2.00928
14 2 3.32587 2.00928
14 3 3.31759 1.69717
14 4 3.31481 1.78729
14 5 3.31308 1.75159
14 6 3.31046 1.81682
14 7 3.30346 1.72975
14 8 3.29485 1.88256
14 9 3.26733 1.69941
14 10 3.24734 1.95873
14 11 3.15762 1.69633
14 12 3.15173 1.98747
14 13 3.06886 1.88303
14 14 3.06793 1.8829
15 0 3.12588 1.80694
15 1 3.13854 1.86488
15 2 3.13918 1.91406
15 3 3.13884 1.90522
15 4 3.13748 1.93505
15 5 3.12942 1.88224
15 6 3.12623 1.92978
15 7 3.04745 1.85291
15 8 3.06659 1.87322
15 9 3.06659 1.87322
15 10 3.06659 1.87322
15 11 3.06659 1.87322
15 12 3.06659 1.87322
15 13 3.06659 1.87322
15 14 3.06659 1.87322
16 0 3.69623 -1.80882
16 1 3.6137 -1.78848
16 2 3.58599 -1.80223
16 3 3.57715 -1.81556
16 4 3.57487 -1.81791
16 5 3.57487 -1.81791
16 6 3.57487 -1.81791
