n	time	error	minimum	coordinates
8	0.0042932395	0.90410083532333374	0.9791352153	0.9854793,0.98327875,0.96521753,0.9672278,0.93241,0.8863051,0.8249354,0.72834903,0.55807525,0.29474142
32	0.0044561660	2.62925124168395996	6.0198264122	0.82411855,0.6716128,0.44196844,0.19852939,0.05452473,0.000702315,0.0052436143,0.019800244,0.01927783,-0.007853138
128	0.0049878890	2.18101859092712402	3.8414595127	0.9516426,0.91308975,0.8316791,0.6907106,0.49407902,0.2451883,0.07148289,0.016227718,0.012520982,0.003909863
512	0.0079792250	2.09101343154907227	3.3950421810	0.96833646,0.9311775,0.8709075,0.767555,0.5945007,0.355467,0.13396911,0.014201374,0.007529863,-0.00461155
2048	0.0120698120	1.39086246490478516	1.0341916084	0.99415505,0.9887728,0.97466,0.94968915,0.9080774,0.8247413,0.685942,0.47078812,0.22356226,0.045826867
8192	0.0120902205	1.96203851699829102	2.9729866982	0.9757471,0.95544356,0.91497326,0.8320403,0.68125534,0.47766802,0.23754439,0.046411492,0.029163942,-0.0019784102
32768	0.0122874630	0.55253589153289795	0.1251979023	0.99794376,0.99482864,0.9898493,0.98680395,0.9749006,0.9622584,0.924982,0.86123586,0.7414527,0.5404312
131072	0.0312300450	0.53142786026000977	0.0894232020	0.9994426,0.9980146,0.9958403,0.99136186,0.9828495,0.9641768,0.92906326,0.86400753,0.74815214,0.55978566
524288	0.0875620270	0.66779744625091553	0.1533666402	0.9976751,0.9981869,0.9939405,0.9904658,0.97697484,0.9539261,0.906918,0.82233936,0.67560095,0.45437944
2097152	0.3008372470	0.41551390290260315	0.0621047728	0.9982026,0.9983701,0.99585474,0.98983014,0.98227257,0.9722185,0.9496549,0.8988802,0.8091126,0.65036964
8388608	1.1372838050	0.13532993197441101	0.0055924081	0.9994781,0.99912256,0.99823016,0.9977667,0.9950119,0.99124986,0.9844644,0.9698249,0.9404176,0.8838035
33554432	4.3888517700	0.02419357746839523	0.0001496689	0.99991715,0.99989516,0.99986327,0.99971,0.99933857,0.99868935,0.99735284,0.99475574,0.98952836,0.97905034
