OptIndex Step X_0 X_1
0 0 -4.62733 -4.9465
1 0 -0.13372 0.243701
2 0 -0.269932 -3.31113
3 0 2.63362 3.06409
4 0 4.83295 -4.08806
5 0 4.53667 2.11785
6 0 -3.62387 0.0976979
7 0 -0.719002 4.8035
8 0 1.96512 0.252388
9 0 0.703666 -1.6803
10 0 -0.456406 -0.253864
11 0 -3.42995 -0.313995
12 0 -4.79178 1.97439
13 0 2.76108 3.63426
14 0 1.48519 0.00158512
15 0 1.47817 0.873328
16 0 -1.28849 -2.4279
17 0 1.31126 1.35783
18 0 1.58865 -0.313164
19 0 -2.91911 3.0845
20 0 -2.37242 -2.9106
21 0 1.593 -0.0524605
22 0 -2.3262 1.68945
23 0 -2.18589 4.60009
24 0 3.87818 2.36318
25 0 -4.80038 -2.79162
26 0 -4.6714 -0.407268
27 0 1.88113 1.49555
28 0 -2.31223 1.02185
29 0 -1.86583 -2.27254
30 0 1.19039 -2.20607
31 0 4.34228 0.903326
32 0 -0.611578 -1.40544
33 0 3.71218 -3.94132
34 0 0.704247 -0.49857
35 0 3.5487 -1.51201
36 0 -0.302734 0.466956
37 0 1.32001 2.83245
38 0 -4.88142 1.67307
39 0 -0.0992342 1.31924
40 0 -0.559474 -0.436387
41 0 -3.7422 3.42456
42 0 3.46292 2.06022
43 0 0.518973 -4.93264
44 0 -3.23855 -3.24039
45 0 -1.5588 -4.46601
46 0 -0.996236 -0.323063
47 0 1.96621 -1.7308
48 0 2.37155 -0.0324557
49 0 1.38594 -0.409973
50 0 1.12985 -0.290033
51 0 -4.87412 0.332387
52 0 0.32401 -0.542452
53 0 -3.14556 -3.50951
54 0 -2.36543 -4.94461
55 0 -0.336865 4.62171
56 0 -1.20924 -2.03178
57 0 2.42465 -4.19406
58 0 -1.93511 -3.24939
59 0 -2.86142 4.54714
60 0 -4.21202 -0.0679185
61 0 -0.564697 -3.53415
62 0 -4.63909 -0.0788207
63 0 -3.9202 4.95997
64 0 4.3147 4.72636
