OptIndex Step X_0 X_1
0 0 -2.14914 -1.87981
0 1 -61.4461 -82.461
0 2 -61.4461 -82.461
0 3 -303.646 -1695.36
0 4 -940.269 -8270.58
0 5 -940.269 -8270.58
0 6 -893.951 -8179.22
0 7 -854.943 -8251.86
0 8 -808.121 -8238.96
0 9 -808.121 -8238.96
0 10 -784.503 -8242.24
0 11 -781.798 -8242.18
0 12 -781.798 -8242.18
0 13 -781.798 -8242.18
0 14 -781.798 -8242.18
1 0 1.76773 3.95295
1 1 9.25506 14.9354
1 2 9.42343 15.2604
1 3 9.24108 15.3181
1 4 8.64228 15.5902
1 5 8.48716 15.6577
1 6 8.46618 15.6668
1 7 8.46618 15.6668
1 8 8.46618 15.6668
1 9 8.46618 15.6668
1 10 8.46618 15.6668
1 11 8.46618 15.6668
1 12 8.46618 15.6668
1 13 8.46618 15.6668
1 14 8.46618 15.6668
2 0 1.66212 0.126565
2 1 17.3015 18.1481
2 2 10.1913 14.5177
2 3 9.57544 14.5143
2 4 8.4997 15.0941
2 5 8.66059 15.2982
2 6 8.79727 15.4654
2 7 8.78974 15.4736
2 8 8.5331 15.6348
2 9 8.45427 15.6614
2 10 8.45023 15.6588
2 11 8.4488 15.657
2 12 8.44794 15.6556
2 13 8.44836 15.6548
2 14 8.4557 15.6508
3 0 5.80403 0.704415
3 1 9.44415 13.2509
3 2 10.2325 15.9413
3 3 9.04274 15.2865
3 4 8.90616 15.2707
3 5 8.45 15.4344
3 6 8.50718 15.5053
3 7 8.57685 15.5862
3 8 8.57392 15.5868
3 9 8.46659 15.6209
3 10 8.46659 15.6209
3 11 8.46659 15.6209
3 12 8.46659 15.6209
3 13 8.46659 15.6209
3 14 8.46659 15.6209
4 0 5.76687 -0.394105
4 1 11.5597 21.2471
4 2 5.34839 17.8363
4 3 5.48652 17.5281
4 4 8.50573 15.2085
4 5 8.51692 15.5788
4 6 8.47446 15.6399
4 7 8.44992 15.6508
4 8 8.45867 15.6494
4 9 8.45694 15.6502
4 10 8.45728 15.6502
4 11 8.45677 15.6504
4 12 8.45677 15.6504
4 13 8.45677 15.6504
4 14 8.45677 15.6504
5 0 5.63455 5.62453
5 1 8.64508 12.7748
5 2 10.1526 15.3127
5 3 9.73542 15.088
5 4 9.26677 14.8876
5 5 9.01031 15.0405
5 6 8.8353 15.4336
5 7 8.30725 15.6652
5 8 8.46726 15.6269
5 9 8.46208 15.6363
5 10 8.45727 15.6505
5 11 8.45676 15.6509
5 12 8.45693 15.6509
5 13 8.45692 15.6509
5 14 8.45692 15.6509
6 0 -1.13171 3.51588
6 1 10.666 17.9617
6 2 7.95933 15.6725
6 3 8.14504 15.8617
6 4 8.12826 15.844
6 5 8.12737 15.8406
6 6 8.19117 15.7278
6 7 8.42417 15.6405
6 8 8.46174 15.6405
6 9 8.45457 15.6474
6 10 8.45768 15.6498
6 11 8.4581 15.6502
6 12 8.4581 15.6502
6 13 8.4581 15.6502
6 14 8.4581 15.6502
7 0 1.26832 7.82688
7 1 9.42037 18.8247
7 2 7.04055 16.3315
7 3 7.12269 16.4057
7 4 7.12269 16.4057
7 5 7.12269 16.4057
7 6 7.12269 16.4057
7 7 7.12269 16.4057
7 8 7.12269 16.4057
7 9 7.12269 16.4057
7 10 7.12269 16.4057
7 11 7.12269 16.4057
7 12 7.12269 16.4057
7 13 7.12269 16.4057
7 14 7.12269 16.4057
8 0 3.9366 3.12009
8 1 10.3539 15.7252
8 2 9.39644 15.4341
8 3 8.77327 15.2558
8 4 8.63156 15.4542
8 5 8.47058 15.6341
8 6 8.46 15.65
8 7 8.4571 15.6506
