OptIndex Step X_0 X_1
0 0 -4.62733 -4.9465
0 1 -4.62733 -4.9465
0 2 -4.62733 -4.9465
0 3 -4.62733 -4.9465
0 4 -4.87787 -4.20474
0 5 -4.87787 -4.20474
0 6 -4.87787 -4.20474
0 7 -4.87787 -4.20474
0 8 -4.87787 -4.20474
0 9 -4.87787 -4.20474
0 10 -4.79637 -4.2101
0 11 -4.80893 -4.20921
0 12 -4.80983 -4.20917
0 13 -4.80983 -4.20917
0 14 -4.80983 -4.20917
1 0 -0.13372 0.243701
1 1 1.34643 0.639037
1 2 1.09048 0.625068
1 3 1.09048 0.625068
1 4 1.09048 0.625068
1 5 2.36797 0.608623
1 6 2.36797 0.608623
1 7 2.36797 0.608623
1 8 2.36797 0.608623
1 9 2.36797 0.608623
1 10 2.36797 0.608623
1 11 2.36797 0.608623
1 12 2.36797 0.608623
1 13 2.36797 0.608623
1 14 2.36797 0.608623
2 0 -0.269932 -3.31113
2 1 2.29085 -3.77132
2 2 2.29085 -3.77132
2 3 -4.83501 -4.51814
2 4 -6.00319 -5.00767
2 5 -6.00319 -5.00767
2 6 -6.00319 -5.00767
2 7 -6.00319 -5.00767
2 8 -6.00319 -5.00767
2 9 -6.00319 -5.00767
2 10 -6.00319 -5.00767
2 11 -6.00319 -5.00767
2 12 -6.00319 -5.00767
2 13 -6.00319 -5.00767
2 14 -6.00319 -5.00767
3 0 2.63362 3.06409
3 1 8.13046 4.35727
3 2 8.13046 4.35727
3 3 8.13046 4.35727
3 4 8.13046 4.35727
3 5 8.13046 4.35727
3 6 8.13046 4.35727
3 7 8.13046 4.35727
3 8 8.13046 4.35727
3 9 8.13046 4.35727
3 10 8.13046 4.35727
3 11 8.13046 4.35727
3 12 8.13046 4.35727
3 13 8.13046 4.35727
3 14 8.13046 4.35727
4 0 4.83295 -4.08806
4 1 4.83295 -4.08806
4 2 2.47194 -0.339173
4 3 2.11908 0.0472944
4 4 2.06742 0.266998
4 5 2.01344 0.349068
4 6 2.01344 0.349068
4 7 2.01344 0.349068
4 8 2.01344 0.349068
4 9 2.01344 0.349068
4 10 2.01344 0.349068
4 11 2.01344 0.349068
4 12 2.01344 0.349068
4 13 2.01344 0.349068
4 14 2.01344 0.349068
5 0 4.53667 2.11785
5 1 4.67165 2.0967
5 2 4.65555 2.10594
5 3 4.65555 2.10594
5 4 4.65555 2.10594
5 5 4.65555 2.10594
5 6 4.65555 2.10594
5 7 4.65555 2.10594
5 8 4.65555 2.10594
5 9 4.65555 2.10594
5 10 4.65555 2.10594
5 11 4.65555 2.10594
5 12 4.65555 2.10594
5 13 4.65555 2.10594
5 14 4.65555 2.10594
6 0 -3.62387 0.0976979
6 1 -3.62313 -3.23771
6 2 -3.62313 -3.23771
6 3 -3.62313 -3.23771
6 4 -3.6231 -3.39092
6 5 -3.6231 -3.42076
6 6 -3.6231 -3.41075
6 7 -3.6231 -3.41284
6 8 -3.6231 -3.41284
6 9 -3.6231 -3.41284
6 10 -3.6231 -3.41284
6 11 -3.6231 -3.41284
6 12 -3.6231 -3.41284
6 13 -3.6231 -3.41284
6 14 -3.6231 -3.41294
7 0 -0.719002 4.8035
7 1 -0.719002 4.8035
7 2 -0.719002 4.8035
7 3 -3.09057 5.29205
7 4 6.39995 4.92373
7 5 7.53219 4.87826
7 6 7.31517 4.88275
7 7 8.7088 4.86077
7 8 8.79033 4.85942
7 9 8.79033 4.85942
7 10 8.79033 4.85942
7 11 8.79033 4.85942
7 12 8.79033 4.85942
7 13 8.79033 4.85942
7 14 8.79033 4.85942
8 0 1.96512 0.252388
8 1 1.88269 0.251611
8 2 1.88269 0.251611
8 3 1.88269 0.251611
8 4 1.88269 0.251611
8 5 1.88269 0.251611
8 6 1.88269 0.251611
8 7 1.88269 0.251611
8 8 1.88269 0.251611
8 9 1.88269 0.251611
8 10 1.87577 0.250919
8 11 1.87577 0.250919
8 12 1.87604 0.250617
8 13 1.87604 0.250617
8 14 1.87604 0.250617
9 0 0.703666 -1.6803
9 1 0.53291 -1.61768
9 2 -0.282044 -1.19163
9 3 -0.282044 -1.19163
9 4 -0.282044 -1.19163
9 5 -0.282044 -1.19163
9 6 -0.282044 -1.19163
9 7 -0.282044 -1.19163
9 8 -0.282044 -1.19163
9 9 -0.282044 -1.19163
9 10 -0.282044 -1.19163
9 11 -0.282044 -1.19163
9 12 -0.282044 -1.19163
9 13 -0.282044 -1.19163
9 14 -0.282044 -1.19163
10 0 -0.456406 -0.253864
10 1 -0.418839 -0.481705
10 2 -0.418839 -0.481705
10 3 -0.380041 -0.602516
10 4 -0.380041 -0.602516
10 5 -0.380653 -0.622615
10 6 -0.38065 -0.622723
10 7 -0.380643 -0.622445
10 8 -0.380637 -0.622739
10 9 -0.38063 -0.622358
10 10 -0.380624 -0.622758
10 11 -0.380621 -0.622496
10 12 -0.380619 -0.622639
10 13 -0.380619 -0.622551
10 14 -0.380618 -0.62265
11 0 -3.42995 -0.313995
11 1 -3.42995 -0.313995
11 2 -1.8037 0.454838
11 3 -1.8037 0.454838
11 4 -1.71898 0.839869
11 5 -1.71898 0.839869
11 6 -1.73213 0.685611
11 7 -1.36538 -1.09914
11 8 -1.35858 -1.76341
11 9 -1.35405 -1.9121
11 10 -1.35437 -1.90162
11 11 -1.35437 -1.90162
11 12 -1.35437 -1.90162
11 13 -1.35437 -1.90162
11 14 -1.35437 -1.90162
12 0 -4.79178 1.97439
12 1 -4.79178 1.97439
12 2 -4.79178 1.97439
12 3 -4.79178 1.97439
12 4 -4.79178 1.97439
12 5 1.02764 3.94902
12 6 4.72746 3.08674
12 7 4.72746 3.08674
12 8 4.72746 3.08674
12 9 5.77405 3.08653
12 10 5.77405 3.08653
